file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120106_www1.rizospastis.gr_c3012ca8ca2a0968b8e9e79641f4699f8044d3a08a73dcbdfc81bf91	85.54	81.52	89.98	0.00	0.00	0.00	503	114	56	0	6	9
20120106_www2.rizospastis.gr_a7a091cc3d3f43051c1d9936b8c624431e06cc68b33122edaddc992c	92.41	90.46	94.44	0.00	0.00	0.00	493	52	29	0	0	4
20120106_www2.rizospastis.gr_3cb716eac237f1f7bcf5b28ff4d03f53d7ad825635a4075941062dcc	82.74	76.49	90.11	0.00	0.00	0.00	410	126	45	0	5	8
20111221_www.express.gr_473b6f39b78009b8a0db81b690d50d060be6df0afb48d985edfe8725	89.30	87.56	91.12	0.00	0.00	0.00	718	102	70	0	0	22
20120106_www2.rizospastis.gr_cc72f28afe32a750460efbacbda4d57b6edff351688288a36a59523f	76.89	68.78	87.17	0.00	0.00	0.00	163	74	24	0	3	3
20111117_www.express.gr_3a7503f984e19276fafaee944f124abc40f5019f6d714fe776d3e51c	83.03	78.95	87.56	0.00	0.00	0.00	345	92	49	0	0	14
20111128_www.express.gr_5ea35f8d3f8677bfe844c9e4048385563cb9ad1bc53664318a3a6743	90.43	86.23	95.07	0.00	0.00	0.00	501	80	26	0	0	9
20120105_health.in.gr_004c53da77f6a9296a961382585a3245aa5e4b1d2a8c27b2c0b05f0a	83.71	81.54	86.00	0.00	0.00	0.00	393	89	64	0	0	17
20120106_www2.rizospastis.gr_a0f860cb41ae2c3b953cf235d185cf1712018cc407b444ab1e827c1b	76.52	69.53	85.08	0.00	0.00	0.00	251	110	44	0	4	6
20111216_www.express.gr_64ac71e0d5681563f3e75768aee0872c9de9ccdb8d10e14c5ba86360	76.29	64.99	92.36	0.00	0.00	0.00	774	417	64	0	34	23
20120106_www2.rizospastis.gr_e5d6357544ca1d9a9d9402a219c058cd3f63a20c1dd410cc52e6d481	85.97	82.52	89.73	0.00	0.00	0.00	472	100	54	0	5	8
20120106_www2.rizospastis.gr_96b17e3dcadc28f81603031e63512767bbe5746b0f3084a84a743970	86.72	82.28	91.67	0.00	0.00	0.00	418	90	38	0	5	7
20120106_www.tovima.gr_5ccfcd5dc81da74ab6661a16fd7b3de18fc8d15ffaa35b40e3a7dbd0	84.30	80.66	88.28	0.00	0.00	0.00	467	112	62	0	14	17
20111115_www.express.gr_60c020d5a20cd32bc666c3802c29f4bf9f1ab818cbeca961cbfc3df3	89.33	85.45	93.58	0.00	0.00	0.00	423	72	29	0	0	8
20120105_www.tovima.gr_dbcf2d57f1b76bdc40669c282840a3409b8c518581e85ce81e4daf9f	82.05	82.05	82.05	0.00	0.00	0.00	320	70	70	0	1	13
20120106_www1.rizospastis.gr_626b66a3c33a4d73985317f4b6d4aba9ff0672358adca186c83815ad	78.43	69.56	89.89	0.00	0.00	0.00	409	179	46	0	7	8
20120106_www2.rizospastis.gr_c4a7903a237df85bb5d949b5e25e98697135c20e4a815f58682e75c4	84.60	80.67	88.93	0.00	0.00	0.00	530	127	66	0	9	12
20120106_www1.rizospastis.gr_dafd09614c48faabda09182993d6a6abaa82d1e9f3d718c92153a4cc	81.08	77.04	85.56	0.00	0.00	0.00	735	219	124	0	30	27
