file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120117_timesofindia.indiatimes.com_22c1d64206e29a0dca411ee86f44ea616b8f8ac5c652cf30f2382385	76.72	67.76	88.41	0.00	0.00	0.00	206	98	27	0	5	7
20120117_www.orissadiary.com_6ac515d4b60cdb80d6746c10ff74c02087e132b7e63fb77b6a5d70a6	80.66	75.97	85.96	0.00	0.00	0.00	196	62	32	0	2	4
20120117_m.smh.com.au_2837b4beda2d9647673c8344773c6914407ae87298d155731de503cd	80.00	75.21	85.45	0.00	0.00	0.00	364	120	62	0	18	20
20111215_www.telegraph.co.uk_c56e99f68fdb6b7f284f287ac8b1133b20ba731b77a8a9cb96d16260	79.95	72.86	88.57	0.00	0.00	0.00	341	127	44	0	14	15
20120112_news.bbc.co.uk_f75ece81098631dbd272e4b34ed73383c37d719c26d1d72a6a080931	78.17	74.22	82.57	0.00	0.00	0.00	308	107	65	0	14	16
20120117_news.nationalpost.com_d014b8d85ef1cbb634831c871b4bdda202e92660d1062b4f19457c02	88.61	84.31	93.38	0.00	0.00	0.00	747	139	53	0	25	22
20120117_visitbulgaria.info_54a20f9f7abb52319ad7988e1b4e1170c4ea3cf97827941b6f9a2624	86.67	81.45	92.60	0.00	0.00	0.00	338	77	27	0	7	8
20120112_online.wsj.com_078a9cdd4b90e6cb0fd7112799485760d0fc0ee223259c46111498e8	2.09	4.35	1.38	0.00	0.00	0.00	10	220	716	0	9	16
20120117_www.cosmosmagazine.com_ca99584dc34b621b196e5469128147ca2a2596f9ef72cb11548df45e	87.83	86.68	89.01	0.00	0.00	0.00	729	112	90	0	17	20
20111215_www.metro.co.uk_59956104e4f612d6f61f5497ddfdfea1352c597763ea33c207929059	72.02	60.68	88.59	0.00	0.00	0.00	233	151	30	0	8	10
20111215_www.guardian.co.uk_bdb75d0a9df1d38d02528b2a05ff19f310e2a3e96dadbe8b92c332af	80.62	72.45	90.87	0.00	0.00	0.00	468	178	47	0	7	8
20111215_www.dailymail.co.uk_3f608d00736156a323ab476a86a3c7bca40bcb05ee1d74ceb546bbd5	63.90	55.85	74.67	0.00	0.00	0.00	339	268	115	0	29	20
20120112_psychcentral.com_d083c6b0c8d0c244d419c175957011d592d58ad75eae67ccc1195938	87.99	83.63	92.83	0.00	0.00	0.00	557	109	43	0	14	14
20120117_www.mirror.co.uk_b9d91e8cabba8832ceed69fd1edbc73b1c204ba6dfd9df89ce4260b4	74.14	63.56	88.93	0.00	0.00	0.00	225	129	28	0	8	10
20120117_www.bbc.co.uk_7b29bbb105b5aa555f5c798457911b5d76b2ceedcf800086b1e75327	80.90	77.14	85.04	0.00	0.00	0.00	324	96	57	0	11	15
20111215_www.dh.gov.uk_0a9cbae2299a36326acfa07e1a72eb684e38363967d46b929f16e7b6	75.70	67.40	86.35	0.00	0.00	0.00	215	104	34	0	7	10
20120117_news.nationalpost.com_72ee301752737078845a7b55b80760e571b4b0ce0605d2fef8354964	88.37	86.25	90.60	0.00	0.00	0.00	646	103	67	0	27	25
20120117_www.kake.com_f53c043c168bfe50334316658bfc69588b8ddcc26efa05a315da78b1	53.54	50.00	57.62	0.00	0.00	0.00	87	87	64	0	6	8
20120112_www.theglobeandmail.com_a82c942896627b03cbdaaad77d3fd77b4d6ffb18f3006e9c2f4784ec	2.50	6.21	1.56	0.00	0.00	0.00	10	151	630	0	0	15
20120112_www.businessweek.com_a005cdc19204ac2e3d4a5b818aa8c77e5968802888d329495c31085c	83.58	78.30	89.62	0.00	0.00	0.00	285	79	33	0	10	11
20120117_www.stuff.co.nz_53ba40796817ab0ee7fe18d7db255eebc0a5de2acb375b7df7b8ab9e	87.72	85.35	90.23	0.00	0.00	0.00	600	103	65	0	18	21
20111215_www.bbc.co.uk_10ad28b17f9e43976b02a6c94273819d431408d013d600dd689c1168	83.45	79.13	88.27	0.00	0.00	0.00	489	129	65	0	17	21
20120112_www.webmd.com_e32ac08f1b45b33ae2008ecd653f647c5b3eada798c6d439717a374d	67.02	77.80	58.87	0.00	0.00	0.00	438	125	306	0	17	28
20120112_www.prnewswire.com_8d259fddc33accecceb54274199d80eb29bca4526ca3ce0efb210d6d	73.49	62.92	88.33	0.00	0.00	0.00	772	455	102	0	31	28
20120112_www.google.com_fa0d9757941c336d81b6a57178537f035510e965958079464a0ade9d	83.33	77.87	89.62	0.00	0.00	0.00	285	81	33	0	10	11
20120117_www.ohio.com_3257efd6ddffd185f2fe02a3033e51b100d23cfe1bbb6974825ab535	80.93	73.49	90.04	0.00	0.00	0.00	488	176	54	0	23	23
20120112_news.sky.com_894e7a03c5dd0220ce188ac32e8eb1ee0cc463613a722b966cf9a2a4	78.17	73.59	83.36	0.00	0.00	0.00	471	169	94	0	24	27
20111215_www.bbc.co.uk_e96f24839be5d51388265d2a50689ac0e3d174c1dcee1d0100219777	57.23	69.04	48.87	0.00	0.00	0.00	194	87	203	0	8	16
20120117_www.cambridgefirst.co.uk_5738cca15743d499f55994f6132bef39d9e0ac6c6709654080d91340	16.51	27.56	11.78	0.00	0.00	0.00	35	92	262	0	1	8
20120112_www.metro.co.uk_63ca8cbe651c3917efb0977f6ea7a4b5fe936b9bd5367591a2f6570c	72.45	63.02	85.20	0.00	0.00	0.00	167	98	29	0	6	9
20120117_www.scotsman.com_9da257b1239aa7ede6b742e611265879c4c71c95ee65f3e21375cc03	83.95	78.21	90.60	0.00	0.00	0.00	578	161	60	0	25	25
20120112_www.cbsnews.com_45aa314d1bba90dfc9b74aedc130fef139c9c92d7c02f72def10138d	89.39	87.48	91.37	0.00	0.00	0.00	699	100	66	0	17	19
20120112_www.webmd.com_252d2169ba7e553ec3c5f51e82c9cb2f7290b97c3ff5e9fe75c6cc16	71.79	73.75	69.93	0.00	0.00	0.00	486	173	209	0	15	26
20111215_www.google.com_f15ae5e3a902a6f4010166ea66e95dd7202bfd7da6da6cdf9eb68bc3	84.90	79.90	90.56	0.00	0.00	0.00	326	82	34	0	10	11
20111215_www.guardian.co.uk_51844ecc39330dff62a070e5c2b90bad74c03e084f1f2456f297d216	88.87	84.47	93.74	0.00	0.00	0.00	854	157	57	0	13	16
20120117_www.latimes.com_4bbc92767919d8d2467d301487a59707c439c8fd97dff978db56ecc0	86.08	83.58	88.73	0.00	0.00	0.00	850	167	108	0	19	21
20120112_www.express.co.uk_2cc333acdf6ed5465ec0d4d7f4458731780f0c07bca31232aa18a858	65.47	53.20	85.08	0.00	0.00	0.00	382	336	67	0	5	18
20120117_www.dailymail.co.uk_56994e6d6576437c4deaf0da93ed39e5e4ef091958832cf3ec83bd6d	61.45	73.21	52.94	0.00	0.00	0.00	306	112	272	0	12	23
20120117_gazette.jhu.edu_47e76623eb1c3d7206d1cb4165d0b85123ddbbf0f2b1dcd64ab40bee	87.31	82.20	93.09	0.00	0.00	0.00	337	73	25	0	7	7
20111215_www.google.com_1dadb7b8b785257c96e75525287128a33660828a93c87864be59ed53	83.68	78.71	89.33	0.00	0.00	0.00	318	86	38	0	10	11
20120117_www.slbc.lk_ffe253f28e00d6fe592352ade540a8794f1fc39629982208652ab870	76.06	66.67	88.52	0.00	0.00	0.00	108	54	14	0	0	3
20120112_www.dailymail.co.uk_8360aa5d0696320532ff3bc6d5393aaa725db973d2bb2400aef68dda	78.37	73.46	83.98	0.00	0.00	0.00	346	125	66	0	13	17
20120112_www.foxnews.com_758b76cc0f6cf537c117dd591073f38157240017e084e3fb8e1a2d9a	87.03	83.82	90.51	0.00	0.00	0.00	896	173	94	0	33	32
20120117_www.independent.ie_d1f8adf15cd45d6f91736f7d8e6a4ce125b36f88402b3c699e0fcfd2	81.21	77.21	85.65	0.00	0.00	0.00	376	111	63	0	15	16
20120117_www.bbc.co.uk_ee4014a4f6529d9216f9b35b8c4b03d285024160369fef89b9c86b45	72.52	65.18	81.73	0.00	0.00	0.00	161	86	36	0	7	10
20111215_www.bbc.co.uk_b549e6b7ec6bf53a79536b51213191b0752f33e134ba1eaef6ff1b45	81.39	76.48	86.98	0.00	0.00	0.00	374	115	56	0	15	16
20111215_www.google.com_bceb9bbdc9587b15b2cfe90aec22a9d6443a010bc7b7f8755fc2a4fa	85.64	80.92	90.96	0.00	0.00	0.00	352	83	35	0	10	11
