file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111209_www.we-dwoje.pl_19af8fed1feb67d7ad17ceed91f60bbcb0845ec57d5132df8c16e255	44.20	29.55	87.64	0.00	0.00	0.00	305	727	43	0	1	8
20120104_www.money.pl_e7ba8f2d7d697eb07d171de9f2d33a494d57e2fc44dce04b805450e1	73.98	65.65	84.73	0.00	0.00	0.00	172	90	31	0	5	7
20120104_www.gk24.pl_c95d8af5117520c86cf6a43247756d8a8bcfe62435ca0a8d4256662f	81.43	79.20	83.78	0.00	0.00	0.00	217	57	42	0	2	8
20120105_www.we-dwoje.pl_a34f720362e69f95128b20da89e6b87e248575d82e80acd0c12e41ad	89.15	88.33	89.98	0.00	0.00	0.00	575	76	64	0	2	15
20111121_www.biolog.pl_df35442bc753c25dd6c3d261cac577b2e83b5f6405dfa1fbc7b3711d	89.93	90.34	89.52	0.00	0.00	0.00	692	74	81	0	16	17
20120106_www.pomorska.pl_319b22943ec4e778a564cf08846303ca7caac14778d50ab4dcc555d5	91.80	91.88	91.72	0.00	0.00	0.00	1075	95	97	0	8	26
20120102_www.zdrowiutko.info_4af7429d6f7b3967f666b89eea7bef64cc89f5b13fb8a366a7b5fcf9	78.58	72.49	85.78	0.00	0.00	0.00	730	277	121	0	0	30
20111207_www.biolog.pl_1217f2298aedb3f437a8ad8f951d4a5fd72f73453f3a1ad483247983	84.62	85.94	83.33	0.00	0.00	0.00	275	45	55	0	2	9
20111121_www.zdrowiutko.info_974b6000f979b037cca015e83a107762db4890e6216ad7767d15ebbf	76.36	73.54	79.41	0.00	0.00	0.00	428	154	111	0	0	20
20120104_www.rmf24.pl_f855b922968bad3aad3e602bffd0cf52f85e6310bcdccac4cc775317	68.84	62.83	76.13	0.00	0.00	0.00	169	100	53	0	4	7
20120106_www.rp.pl_0c673e6f222d11a2e838ee625217077fdbd48353bf73ad3d4ff6ff47	77.45	71.20	84.91	0.00	0.00	0.00	225	91	40	0	5	7
20120106_www.nowiny24.pl_7f85e13888ff7478c6e1bbb27628ac8bfa7741bdde10abab79aaabbc	82.33	79.48	85.41	0.00	0.00	0.00	515	133	88	0	6	21
20111121_goodcontents.net_daca031b3afb62aa1c5ae330893841cfd517220dc0be08ce017e26d7	87.99	84.47	91.82	0.00	0.00	0.00	359	66	32	0	3	7
20111209_www.biolog.pl_f8a9a3a7e56a47890452bd092305ca15eaaf850b48b6935084628b48	66.42	60.26	73.98	0.00	0.00	0.00	91	60	32	0	2	4
20120106_www.rp.pl_af88e8921fbd34d5545ac12ebf8e46776b2fd5e237f17d8488e67f6b	90.29	90.03	90.55	0.00	0.00	0.00	623	69	65	0	11	14
20120106_www.rynekzdrowia.pl_65763a4d2634741e77cdcbdafb1f17ea37275efbe4a1ced9bba9f2ea	74.47	70.45	78.98	0.00	0.00	0.00	124	52	33	0	0	6
20111207_www.biolog.pl_f7b095a5f67da611db46b0033f53bbf0d6d1d6b0965661dc74629464	85.76	86.98	84.57	0.00	0.00	0.00	274	41	50	0	2	10
20120102_www.biolog.pl_da4971d5a8258ca16606d2a4af7b3ff5a43a04116e50017b5794f1e6	88.43	86.88	90.03	0.00	0.00	0.00	298	45	33	0	2	9
20120106_budownictwo.wnp.pl_ff337b320fa04ea7f0dd72f85bf1de4cbc93f521cd4a02457e6e86d2	58.96	69.23	51.34	0.00	0.00	0.00	153	68	145	0	0	8
20120102_www.biolog.pl_7c3b047ae678cbf0aab0b7b7dfb357b3d41868b90f16f3b227a3c491	87.74	85.68	89.90	0.00	0.00	0.00	347	58	39	0	2	9
20111207_www.biolog.pl_cbef94652e0301b7efa01a61b323fa8e7d1c79ebaa36eb50ede8f7b0	72.00	70.21	73.88	0.00	0.00	0.00	99	42	35	0	3	5
20120106_www.rynekzdrowia.pl_bdc5c2b80ed23617eb900252991d90d4656ade58157d2e3e2bafc26b	83.57	81.11	86.18	0.00	0.00	0.00	262	61	42	0	1	9
20120106_www.wspolczesna.pl_0dd3592e0d200f6516534c023c04eb4e8984fee26436878ad80e2855	84.35	81.04	87.93	0.00	0.00	0.00	714	167	98	0	4	17
20120105_www.we-dwoje.pl_b0db55778e8821d208c8ac62c8d13d45383eb82b029b30856cfb9423	82.09	81.82	82.37	0.00	0.00	0.00	369	82	79	0	3	14
20120102_www.biolog.pl_306b8101d03d29a1ee66c57786538a26ee98577075c873767a787a68	83.07	80.70	85.58	0.00	0.00	0.00	184	44	31	0	2	8
20120106_www.rynekzdrowia.pl_f07b63d1c1fbbffcd623b0c5bd041de2120ee38f6929245adcff13b1	76.75	72.49	81.55	0.00	0.00	0.00	137	52	31	0	4	5
20120106_www.rmf24.pl_505b49e74cd20ee7c8f10d2026d3bf8fdf91537debf2e3952286ded5	30.00	20.00	60.00	0.00	0.00	0.00	66	264	44	0	8	5
20120106_www.polskatimes.pl_cbecb1cdf021db05874d2a890ff464ba725e9083213745397b5a4bb6	24.82	14.79	77.05	0.00	0.00	0.00	188	1083	56	0	0	11
20120106_wirtualnapolonia.com_bafb21f000c3042db55f8b3f13a5c43c5a9178fcb520f76dc7ff0ca9	83.97	77.41	91.76	0.00	0.00	0.00	579	169	52	0	15	17
20111209_www.we-dwoje.pl_9e19ffb372d06c9036e7d4c5e06c9f05fa5c86cc123c68e23e7640e7	86.22	82.99	89.71	0.00	0.00	0.00	366	75	42	0	6	6
20120105_www.we-dwoje.pl_6ed54a3f163ad1ffe0cf00805c28afdcf78b018b370957c05e219bf1	92.57	91.21	93.96	0.00	0.00	0.00	685	66	44	0	5	10
20120106_biznes.interia.pl_9a6726be57cae3560f578c7b15519ddb4fb7b474fdcddd62a38534aa	74.58	72.35	76.96	0.00	0.00	0.00	314	120	94	0	8	10
20120106_www.gazetawroclawska.pl_41a7b3773550523a9741d29845aaaee9e977bdfd01901850f9563329	86.03	84.33	87.81	0.00	0.00	0.00	425	79	59	0	0	19
20111209_www.we-dwoje.pl_1c0a491674db2d2724388d3fb0c5682dd6a80cdaa873938b214330d2	91.53	89.36	93.81	0.00	0.00	0.00	697	83	46	0	3	11
20120106_slask.naszemiasto.pl_e4f5f61fdc3d25a8a225b4d8ca7d6940dfab791aade48c19aa6d890a	87.31	86.49	88.15	0.00	0.00	0.00	461	72	62	0	0	19
20111207_www.zdrowiutko.info_458120636c549e2575a4fe998f7365f52987c6e61bac575a78e55e6d	43.05	31.27	69.06	0.00	0.00	0.00	192	422	86	0	0	8
20120106_www.kurierlubelski.pl_f30bc4a6f30f2cf37d811cf421a158e5705660cbaf1aa09a0d5abf79	5.93	5.71	6.15	0.00	0.00	0.00	8	132	122	0	0	6
20120106_wiadomosci.gazeta.pl_9e3a495d6d34f0786bb36d7959b1cfd0fd7be66d18123b9282771fcf	87.20	83.54	91.20	0.00	0.00	0.00	477	94	46	0	1	9
20120105_www.biolog.pl_18fa987c4df0404a2a81a488b1c87144123c6f9aac96f4ab89ec37c0	90.87	90.36	91.40	0.00	0.00	0.00	478	51	45	0	2	13
20120106_biznes.interia.pl_7c18953a68f6289844d42ab7a7811c30f235b0b27bd58f4fe768b52f	68.77	68.31	69.23	0.00	0.00	0.00	360	167	160	0	15	16
20120106_www.zdrowiewpodrozy.pl_5f410c638df6a9193d38a93f51bf764acc9e60cbc883aebe3d0ddf42	2.48	1.99	3.27	0.00	0.00	0.00	5	246	148	0	0	3
20120105_www.zdrowiutko.info_087d4f5b87f18f340f945c2381b1f770980d4e67243a71d8e30f1226	72.86	62.68	86.98	0.00	0.00	0.00	969	577	145	0	2	29
20120104_wiadomosci.onet.pl_59ec17750f853eea42b7b600e45955002f5be09edb7748048e1824fc	78.14	70.70	87.33	0.00	0.00	0.00	193	80	28	0	0	8
20111207_www.biolog.pl_2f300e5dfb93afb536e83060ca4844e5758ce50af3bf9e2bd91a8b77	82.25	80.97	83.56	0.00	0.00	0.00	183	43	36	0	2	7
20111121_www.biolog.pl_8b000f2ac350c280a189edadad368f1037ca3bb84684617169290369	80.43	75.14	86.51	0.00	0.00	0.00	263	87	41	0	7	8
20120106_wiadomosci.gazeta.pl_b7a7a935284f86094e297bd12f887dfbbbb570e29c3e1b22f5e3d7bc	77.55	70.90	85.59	0.00	0.00	0.00	190	78	32	0	1	7
20120106_www.wprost.pl_1da9a6f43423d0e5ae200279d78abdc31feca05e8dc98ec380e665de	59.33	55.70	63.46	0.00	0.00	0.00	132	105	76	0	3	6
20120106_www.rp.pl_849dd4d86cccc711b3ab79a6bdbe5f22390d676d54d83ae5055a56b5	2.40	2.24	2.58	0.00	0.00	0.00	8	349	302	0	0	9
20120106_www.kurierlubelski.pl_d4de09e672965d66c1c672536e1a13bbcafdfff7172f223238eda9a4	74.41	64.35	88.20	0.00	0.00	0.00	269	149	36	0	0	8
20120105_zdrowie.gazeta.pl_25d02d0e4172561f2efa5f137260da753222aa05e4ac37297f889fe8	68.37	72.20	64.93	0.00	0.00	0.00	187	72	101	0	6	19
20111207_www.biolog.pl_039e473555c4ee6a818fbd7ac007c8edc8407155a9cd534dfb0abe80	78.67	78.02	79.33	0.00	0.00	0.00	142	40	37	0	2	7
20120106_odkrywcy.pl_118b87b6df1d2f9b54f7dc4d1ec4e324e03c849d937da26bc9124621	45.93	86.64	31.25	0.00	0.00	0.00	590	91	1298	0	0	39
20111207_goodcontents.net_6ddd653138b9ebef2c8b3eea220ac17362418304e9c47f22c2af8e3b	82.83	88.92	77.52	0.00	0.00	0.00	369	46	107	0	3	9
20111207_www.we-dwoje.pl_7750fcbf097b086bffb815c87e01ec6d4bdce042f20e34c6a181abb2	59.14	72.18	50.08	0.00	0.00	0.00	301	116	300	0	2	20
20111121_www.biolog.pl_f1377bd36757954a1c0131ef035e6f950fe847f3ecad66d464d747fd	87.64	84.40	91.13	0.00	0.00	0.00	514	95	50	0	12	11
20120104_energetyka.wnp.pl_de7a5b66b6dcfad27ce31f85ebff935a83e553fac41b6189864e8660	57.45	59.85	55.24	0.00	0.00	0.00	79	53	64	0	0	5
20111207_www.we-dwoje.pl_236b1a486c6395f60ac9a1d2949131e949716add254e677ecff3eed1	90.43	88.53	92.42	0.00	0.00	0.00	463	60	38	0	6	7
20120102_www.biolog.pl_183e757bd483767ac212b27981d1402ba1ff5227c483a602136df269	81.24	75.45	87.99	0.00	0.00	0.00	249	81	34	0	8	10
20120106_wiadomosci.wp.pl_f166a5138ccf340a4739beb97132e4670fbd266945872dfb2a5f95f4	2.81	1.84	5.88	0.00	0.00	0.00	7	373	112	0	1	4
20120106_logistyka.wnp.pl_27ce173ae3fb549f83c2acdd9a5abbd7ecb7e4104837ba3ee99a3287	73.17	81.08	66.67	0.00	0.00	0.00	240	56	120	0	0	8
20120105_www.we-dwoje.pl_c8178c22e2659f9cda5210eb3439f5f78b92fd959a8645e57473286d	86.37	82.43	90.71	0.00	0.00	0.00	244	52	25	0	2	7
20111121_www.we-dwoje.pl_6d6817d20f82986c52426986c94ef4a1de0f35aa9c643662d32a2ca3	90.70	92.48	88.98	0.00	0.00	0.00	1058	86	131	0	3	29
20120106_katowice.gazeta.pl_53fe4054505be6ea6b40a7d967f278ae921093eb2b145f54b778f180	86.80	82.17	91.97	0.00	0.00	0.00	401	87	35	0	1	9
20120104_www.rmf24.pl_39c9c81d1e09f7d3628fac5e3cd02e18e3a5a414273b98a8966f1dba	76.40	70.00	84.10	0.00	0.00	0.00	238	102	45	0	5	7
