file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120106_rus.ruvr.ru_2c27d04d251b4d73039acc34e424b755e057a4bd0832f98b0906f893	54.93	41.07	82.90	0.00	0.00	0.00	223	320	46	0	0	7
20111209_www.kleo.ru_01f4205128c9fd41669466012d3659ec55d784ba06a1f5cef6627144	79.70	75.14	84.86	0.00	0.00	0.00	269	89	48	0	5	7
20111128_www.argumenti.ru_d2d7845efedd98f5e11c23fb1c7d10bdb66f7b3002b2bcdddf040508	74.93	74.72	75.14	0.00	0.00	0.00	133	45	44	0	2	6
20120106_www.nr2.ru_71e3ea912507bd41bba2cc41352cfafa45e1641fe1347594a3ed38df	1.09	0.90	1.38	0.00	0.00	0.00	3	330	214	0	0	4
20120106_www.nr2.ru_7d0cc61b526813d7fd9e38de4e7f86c3c505e47061e61e59a8bd0c1a	1.43	0.90	3.41	0.00	0.00	0.00	3	330	85	0	0	4
20111128_top.rbc.ru_5c0edc0481444061258af4069db91fe6003a388f102b526776f6a15c	85.62	81.70	89.93	0.00	0.00	0.00	375	84	42	0	8	9
20120106_informpskov.ru_5570171e07dc222858be5bc0f2e630e5532d4c43e3a24eb461c2b758	0.71	0.47	1.43	0.00	0.00	0.00	2	423	138	0	0	4
20120117_www.argumenti.ru_da9cf21b1564b946eb14c4f6762c84c0daa3e93c341db2c1da63770e	64.73	61.47	68.37	0.00	0.00	0.00	67	42	31	0	0	5
20111128_www.1news.az_9bd2b46a12104cd121d8cbb677b1708a235a8f0e0c250d961ebbd3f7	73.59	69.66	77.99	0.00	0.00	0.00	124	54	35	0	6	5
20120106_newsru.co.il_563f6804e34cfc95a8b4fe9b134a0f9a496663a67f010ba3441a3580	74.64	71.78	77.74	0.00	0.00	0.00	262	103	75	0	8	11
20120106_www.rbc.ru_1ab78a77169231ecf2987dcde3559f5cf50d75d1ec92f85d65363a6b	53.54	67.55	44.35	0.00	0.00	0.00	102	49	128	0	0	5
20111128_www.1tv.ru_5af4c17fcfdecef58f591577f57941711ffc6b4d16e9eddf99a2c1ad	51.51	37.58	81.82	0.00	0.00	0.00	171	284	38	0	4	6
20120117_saratov-times.ru_6a4d4ac1088bedc1a7e769ac2e70dcc1f2238360c574ea6a9f8cd4ca	85.44	83.02	88.00	0.00	0.00	0.00	176	36	24	0	1	5
20111128_www.aif.ru_8615176c4de88091217e66433b654d812ceb3aa888504cc5c65da372	68.45	60.14	79.43	0.00	0.00	0.00	166	110	43	0	6	6
