file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120106_www1.rizospastis.gr_c3012ca8ca2a0968b8e9e79641f4699f8044d3a08a73dcbdfc81bf91	95.83	97.24	94.45	0.00	0.00	0.00	528	15	31	0	0	9
20120106_www2.rizospastis.gr_a7a091cc3d3f43051c1d9936b8c624431e06cc68b33122edaddc992c	97.48	98.82	96.17	0.00	0.00	0.00	502	6	20	0	0	4
20120106_www2.rizospastis.gr_3cb716eac237f1f7bcf5b28ff4d03f53d7ad825635a4075941062dcc	93.44	93.03	93.85	0.00	0.00	0.00	427	32	28	0	0	8
20111221_www.express.gr_473b6f39b78009b8a0db81b690d50d060be6df0afb48d985edfe8725	94.43	95.23	93.65	0.00	0.00	0.00	738	37	50	0	0	22
20120106_www2.rizospastis.gr_cc72f28afe32a750460efbacbda4d57b6edff351688288a36a59523f	93.33	97.11	89.84	0.00	0.00	0.00	168	5	19	0	0	3
20111117_www.express.gr_3a7503f984e19276fafaee944f124abc40f5019f6d714fe776d3e51c	91.89	93.21	90.61	0.00	0.00	0.00	357	26	37	0	0	14
20111128_www.express.gr_5ea35f8d3f8677bfe844c9e4048385563cb9ad1bc53664318a3a6743	95.36	95.27	95.45	0.00	0.00	0.00	503	25	24	0	0	9
20120105_health.in.gr_004c53da77f6a9296a961382585a3245aa5e4b1d2a8c27b2c0b05f0a	90.91	95.87	86.43	0.00	0.00	0.00	395	17	62	0	0	17
20120106_www2.rizospastis.gr_a0f860cb41ae2c3b953cf235d185cf1712018cc407b444ab1e827c1b	92.49	93.13	91.86	0.00	0.00	0.00	271	20	24	0	0	6
20111216_www.express.gr_64ac71e0d5681563f3e75768aee0872c9de9ccdb8d10e14c5ba86360	81.01	71.51	93.44	0.00	0.00	0.00	783	312	55	0	0	23
20120106_www2.rizospastis.gr_e5d6357544ca1d9a9d9402a219c058cd3f63a20c1dd410cc52e6d481	95.85	97.45	94.30	0.00	0.00	0.00	496	13	30	0	0	8
20120106_www2.rizospastis.gr_96b17e3dcadc28f81603031e63512767bbe5746b0f3084a84a743970	96.09	97.95	94.30	0.00	0.00	0.00	430	9	26	0	0	7
20120106_www.tovima.gr_5ccfcd5dc81da74ab6661a16fd7b3de18fc8d15ffaa35b40e3a7dbd0	93.29	96.00	90.74	0.00	0.00	0.00	480	20	49	0	0	17
20111115_www.express.gr_60c020d5a20cd32bc666c3802c29f4bf9f1ab818cbeca961cbfc3df3	95.29	96.59	94.03	0.00	0.00	0.00	425	15	27	0	0	8
20120105_www.tovima.gr_dbcf2d57f1b76bdc40669c282840a3409b8c518581e85ce81e4daf9f	89.37	95.35	84.10	0.00	0.00	0.00	328	16	62	0	0	13
20120106_www1.rizospastis.gr_626b66a3c33a4d73985317f4b6d4aba9ff0672358adca186c83815ad	85.80	80.15	92.31	0.00	0.00	0.00	420	104	35	0	0	8
20120106_www2.rizospastis.gr_c4a7903a237df85bb5d949b5e25e98697135c20e4a815f58682e75c4	95.16	96.39	93.96	0.00	0.00	0.00	560	21	36	0	0	12
20120106_www1.rizospastis.gr_dafd09614c48faabda09182993d6a6abaa82d1e9f3d718c92153a4cc	92.48	92.64	92.32	0.00	0.00	0.00	793	63	66	0	0	27
20120106_www2.rizospastis.gr_a3080aeaea1dd8ee4dd9e8839eaee10dc733e3f6999b3dda4ed6da14	93.15	97.14	89.47	0.00	0.00	0.00	170	5	20	0	0	4
20120106_www.ethnos.gr_44aae21960a8c7b7fffe2b0ee08830c11e2dfff034195fbfbc256ee4	92.55	94.97	90.26	0.00	0.00	0.00	491	26	53	0	0	18
20120106_www.tovima.gr_6d307fa8a293d2d3777242a012dd9c907afbe09ab654f0e6fe2b7e73	10.65	5.96	50.00	0.00	0.00	0.00	22	347	22	0	0	3
20111115_www.express.gr_56539caf20c6ff25edba98bb2a51a03dde06ae052798c5f91cb88e4c	94.54	95.34	93.75	0.00	0.00	0.00	450	22	30	0	0	11
20120106_www.sigmalive.com_be320757a36a7237f5e642f4df70bd00edf441e223aac4626bc69fab	87.76	90.85	84.87	0.00	0.00	0.00	129	13	23	0	0	5
20120106_www.rizospastis.gr_dbae745f644cb04526ce737e48bbcdf1455495bd43c6ee3c7407fdfe	94.12	97.96	90.57	0.00	0.00	0.00	192	4	20	0	0	4
20120105_www.tovima.gr_ad1ed3d7794d0ea47e0fa6cabd0d9b0550b14d5fcd1d46c3cd447730	91.86	97.69	86.68	0.00	0.00	0.00	423	10	65	0	0	21
20120106_www2.rizospastis.gr_f0622e0b95e1080529f45dac2940e1015b6d2ab446b56226a74f7be7	94.15	95.16	93.16	0.00	0.00	0.00	354	18	26	0	0	7
20120106_www2.rizospastis.gr_27192fd83b2742940e079905c57769efee7280c0f2a70e8b7fe1b109	98.10	99.59	96.67	0.00	0.00	0.00	1682	7	58	0	0	23
20111107_www.express.gr_20a584d29d10a3c203d5ca471a3c184d30d7b1a4e58779e002e0cbfc	95.63	96.89	94.41	0.00	0.00	0.00	591	19	35	0	0	11
20120106_www2.rizospastis.gr_cb4de93f7f3e81ea49fc237ed8b6e7f16854c7193f267fa2794e601e	94.98	96.51	93.50	0.00	0.00	0.00	691	25	48	0	0	18
20120105_health.in.gr_e8edbd1ecc4b35d45dc569b9758af3498eba78c3aed809bb0269a1c1	91.83	99.07	85.57	0.00	0.00	0.00	427	4	72	0	0	15
20111110_www.express.gr_fc9eda2e0ff459066717f3a54e84e0562bbbabbd8c77424f5111d1b6	95.24	96.07	94.42	0.00	0.00	0.00	440	18	26	0	0	8
20120105_www.iatronet.gr_beb0bb54d8d761e3ec3af448128046930f8fe7603e924044b256e322	76.40	91.89	65.38	0.00	0.00	0.00	34	3	18	0	0	3
20120106_www1.rizospastis.gr_e5604ddccf9bb60dfdbb5dfe1df2cfa18f7030f6f65f8ff52ba466a7	34.22	34.04	34.41	0.00	0.00	0.00	32	62	61	0	0	4
20111111_www.express.gr_256f9080fd01b4846351b84bb4129eff8bcca307d9deddbf786948bd	93.71	94.65	92.79	0.00	0.00	0.00	283	16	22	0	0	6
20120106_www.sigmalive.com_933d4d485b475e4ddc031824c7494f26cc52dad11af991fd6adc8baa	94.48	95.99	93.01	0.00	0.00	0.00	479	20	36	0	0	11
20120106_www2.rizospastis.gr_c44d5229886107a964158809a7762986d468cbec420700d03e3fef7f	97.14	99.06	95.29	0.00	0.00	0.00	526	5	26	0	0	7
