file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120117_timesofindia.indiatimes.com_22c1d64206e29a0dca411ee86f44ea616b8f8ac5c652cf30f2382385	90.75	90.95	90.56	0.00	0.00	0.00	211	21	22	0	0	7
20120117_www.orissadiary.com_6ac515d4b60cdb80d6746c10ff74c02087e132b7e63fb77b6a5d70a6	91.92	97.07	87.28	0.00	0.00	0.00	199	6	29	0	0	4
20120117_m.smh.com.au_2837b4beda2d9647673c8344773c6914407ae87298d155731de503cd	90.56	92.21	88.97	0.00	0.00	0.00	379	32	47	0	0	20
20111215_www.telegraph.co.uk_c56e99f68fdb6b7f284f287ac8b1133b20ba731b77a8a9cb96d16260	91.46	92.55	90.39	0.00	0.00	0.00	348	28	37	0	0	15
20120112_news.bbc.co.uk_f75ece81098631dbd272e4b34ed73383c37d719c26d1d72a6a080931	91.29	95.87	87.13	0.00	0.00	0.00	325	14	48	0	0	16
20120117_news.nationalpost.com_d014b8d85ef1cbb634831c871b4bdda202e92660d1062b4f19457c02	93.39	93.16	93.62	0.00	0.00	0.00	749	55	51	0	0	22
20120117_visitbulgaria.info_54a20f9f7abb52319ad7988e1b4e1170c4ea3cf97827941b6f9a2624	94.34	95.00	93.70	0.00	0.00	0.00	342	18	23	0	0	8
20120112_online.wsj.com_078a9cdd4b90e6cb0fd7112799485760d0fc0ee223259c46111498e8	2.58	8.73	1.52	0.00	0.00	0.00	11	115	715	0	0	16
20120117_www.cosmosmagazine.com_ca99584dc34b621b196e5469128147ca2a2596f9ef72cb11548df45e	94.65	97.66	91.82	0.00	0.00	0.00	752	18	67	0	0	20
20111215_www.metro.co.uk_59956104e4f612d6f61f5497ddfdfea1352c597763ea33c207929059	86.45	83.39	89.73	0.00	0.00	0.00	236	47	27	0	0	10
20111215_www.guardian.co.uk_bdb75d0a9df1d38d02528b2a05ff19f310e2a3e96dadbe8b92c332af	89.62	85.02	94.76	0.00	0.00	0.00	488	86	27	0	0	8
20111215_www.dailymail.co.uk_3f608d00736156a323ab476a86a3c7bca40bcb05ee1d74ceb546bbd5	78.90	79.16	78.63	0.00	0.00	0.00	357	94	97	0	0	20
20120112_psychcentral.com_d083c6b0c8d0c244d419c175957011d592d58ad75eae67ccc1195938	92.49	91.65	93.33	0.00	0.00	0.00	560	51	40	0	0	14
20120117_www.mirror.co.uk_b9d91e8cabba8832ceed69fd1edbc73b1c204ba6dfd9df89ce4260b4	90.22	91.13	89.33	0.00	0.00	0.00	226	22	27	0	0	10
20120117_www.bbc.co.uk_7b29bbb105b5aa555f5c798457911b5d76b2ceedcf800086b1e75327	91.30	94.65	88.19	0.00	0.00	0.00	336	19	45	0	0	15
20111215_www.dh.gov.uk_0a9cbae2299a36326acfa07e1a72eb684e38363967d46b929f16e7b6	89.43	90.53	88.35	0.00	0.00	0.00	220	23	29	0	0	10
20120117_news.nationalpost.com_72ee301752737078845a7b55b80760e571b4b0ce0605d2fef8354964	92.69	94.73	90.74	0.00	0.00	0.00	647	36	66	0	0	25
20120117_www.kake.com_f53c043c168bfe50334316658bfc69588b8ddcc26efa05a315da78b1	67.95	81.48	58.28	0.00	0.00	0.00	88	20	63	0	0	8
20120112_www.theglobeandmail.com_a82c942896627b03cbdaaad77d3fd77b4d6ffb18f3006e9c2f4784ec	3.34	15.38	1.88	0.00	0.00	0.00	12	66	628	0	0	15
20120112_www.businessweek.com_a005cdc19204ac2e3d4a5b818aa8c77e5968802888d329495c31085c	91.46	92.04	90.88	0.00	0.00	0.00	289	25	29	0	0	11
20120117_www.stuff.co.nz_53ba40796817ab0ee7fe18d7db255eebc0a5de2acb375b7df7b8ab9e	95.50	98.56	92.63	0.00	0.00	0.00	616	9	49	0	0	21
20111215_www.bbc.co.uk_10ad28b17f9e43976b02a6c94273819d431408d013d600dd689c1168	91.36	92.11	90.61	0.00	0.00	0.00	502	43	52	0	0	21
20120112_www.webmd.com_e32ac08f1b45b33ae2008ecd653f647c5b3eada798c6d439717a374d	74.59	94.63	61.56	0.00	0.00	0.00	458	26	286	0	0	28
20120112_www.prnewswire.com_8d259fddc33accecceb54274199d80eb29bca4526ca3ce0efb210d6d	81.63	72.87	92.79	0.00	0.00	0.00	811	302	63	0	0	28
20120112_www.google.com_fa0d9757941c336d81b6a57178537f035510e965958079464a0ade9d	91.17	91.46	90.88	0.00	0.00	0.00	289	27	29	0	0	11
20120117_www.ohio.com_3257efd6ddffd185f2fe02a3033e51b100d23cfe1bbb6974825ab535	86.78	83.59	90.22	0.00	0.00	0.00	489	96	53	0	0	23
20120112_news.sky.com_894e7a03c5dd0220ce188ac32e8eb1ee0cc463613a722b966cf9a2a4	89.31	90.69	87.96	0.00	0.00	0.00	497	51	68	0	0	27
20111215_www.bbc.co.uk_e96f24839be5d51388265d2a50689ac0e3d174c1dcee1d0100219777	64.52	89.69	50.38	0.00	0.00	0.00	200	23	197	0	0	16
20120117_www.cambridgefirst.co.uk_5738cca15743d499f55994f6132bef39d9e0ac6c6709654080d91340	19.22	42.05	12.46	0.00	0.00	0.00	37	51	260	0	0	8
20120112_www.metro.co.uk_63ca8cbe651c3917efb0977f6ea7a4b5fe936b9bd5367591a2f6570c	88.14	89.06	87.24	0.00	0.00	0.00	171	21	25	0	0	9
20120117_www.scotsman.com_9da257b1239aa7ede6b742e611265879c4c71c95ee65f3e21375cc03	88.43	85.95	91.07	0.00	0.00	0.00	581	95	57	0	0	25
20120112_www.cbsnews.com_45aa314d1bba90dfc9b74aedc130fef139c9c92d7c02f72def10138d	95.42	97.03	93.86	0.00	0.00	0.00	718	22	47	0	0	19
20120112_www.webmd.com_252d2169ba7e553ec3c5f51e82c9cb2f7290b97c3ff5e9fe75c6cc16	78.77	87.24	71.80	0.00	0.00	0.00	499	73	196	0	0	26
20111215_www.google.com_f15ae5e3a902a6f4010166ea66e95dd7202bfd7da6da6cdf9eb68bc3	91.92	92.18	91.67	0.00	0.00	0.00	330	28	30	0	0	11
20111215_www.guardian.co.uk_51844ecc39330dff62a070e5c2b90bad74c03e084f1f2456f297d216	94.68	93.66	95.72	0.00	0.00	0.00	872	59	39	0	0	16
20120117_www.latimes.com_4bbc92767919d8d2467d301487a59707c439c8fd97dff978db56ecc0	93.55	95.64	91.54	0.00	0.00	0.00	877	40	81	0	0	21
20120112_www.express.co.uk_2cc333acdf6ed5465ec0d4d7f4458731780f0c07bca31232aa18a858	76.89	68.16	88.20	0.00	0.00	0.00	396	185	53	0	0	18
20120117_www.dailymail.co.uk_56994e6d6576437c4deaf0da93ed39e5e4ef091958832cf3ec83bd6d	69.95	94.96	55.36	0.00	0.00	0.00	320	17	258	0	0	23
20120117_gazette.jhu.edu_47e76623eb1c3d7206d1cb4165d0b85123ddbbf0f2b1dcd64ab40bee	94.72	95.25	94.20	0.00	0.00	0.00	341	17	21	0	0	7
20111215_www.google.com_1dadb7b8b785257c96e75525287128a33660828a93c87864be59ed53	92.11	92.37	91.85	0.00	0.00	0.00	327	27	29	0	0	11
20120117_www.slbc.lk_ffe253f28e00d6fe592352ade540a8794f1fc39629982208652ab870	92.37	95.61	89.34	0.00	0.00	0.00	109	5	13	0	0	3
20120112_www.dailymail.co.uk_8360aa5d0696320532ff3bc6d5393aaa725db973d2bb2400aef68dda	91.55	95.28	88.11	0.00	0.00	0.00	363	18	49	0	0	17
20120112_www.foxnews.com_758b76cc0f6cf537c117dd591073f38157240017e084e3fb8e1a2d9a	93.88	94.85	92.93	0.00	0.00	0.00	920	50	70	0	0	32
20120117_www.independent.ie_d1f8adf15cd45d6f91736f7d8e6a4ce125b36f88402b3c699e0fcfd2	91.74	92.38	91.12	0.00	0.00	0.00	400	33	39	0	0	16
20120117_www.bbc.co.uk_ee4014a4f6529d9216f9b35b8c4b03d285024160369fef89b9c86b45	88.25	90.86	85.79	0.00	0.00	0.00	169	17	28	0	0	10
20111215_www.bbc.co.uk_b549e6b7ec6bf53a79536b51213191b0752f33e134ba1eaef6ff1b45	93.54	96.31	90.93	0.00	0.00	0.00	391	15	39	0	0	16
20111215_www.google.com_bceb9bbdc9587b15b2cfe90aec22a9d6443a010bc7b7f8755fc2a4fa	92.75	92.99	92.51	0.00	0.00	0.00	358	27	29	0	0	11
20120112_www.theglobeandmail.com_4d28a75adf58743732cee0ecc20179df60b2a311ff393cef89b6088d	86.55	94.99	79.48	0.00	0.00	0.00	550	29	142	0	0	19
20111215_www.4ni.co.uk_e89a5849150069d124708ee2d5f01fcaa2004fe4e62393fcc61dcd61	94.26	96.36	92.25	0.00	0.00	0.00	583	22	49	0	0	20
20120112_www.google.com_2dfbec827e0f441c89fcc448d891770f6e5730f6b1554e1c6dc49cca	92.95	93.18	92.71	0.00	0.00	0.00	369	27	29	0	0	11
20120112_www.scotsman.com_05fc82470d64b6000b7e2bebc552b812a0d8708cd7935287e992f6ac	94.27	96.52	92.12	0.00	0.00	0.00	444	16	38	0	0	16
20120112_www.dailytelegraph.com.au_19da765522c25f1e05b4e2e5c71ead9d2a29c56f410c0e9466d84987	87.19	85.10	89.39	0.00	0.00	0.00	337	59	40	0	0	15
20111215_www.google.com_cdb26ea5a65abb028b8670a95d873fd0db5b7494bc03a29153cfabed	92.86	93.09	92.62	0.00	0.00	0.00	364	27	29	0	0	11
20120117_allafrica.com_ca8306a6e2b39b6e3390076bae8b3db6d31234d8ff6dd0ff5480512a	73.97	65.61	84.77	0.00	0.00	0.00	206	108	37	0	0	6
20120112_www.theage.com.au_3b2621b040935fc7babe189f04a8195e5d6d42f318738af356788972	89.90	93.19	86.83	0.00	0.00	0.00	178	13	27	0	0	10
20120112_www.bbc.co.uk_43f849f890fd1367180abcc0c8b8ae3faf43c4b09a53371d52e33efe	71.55	88.64	59.98	0.00	0.00	0.00	562	72	375	0	0	36
20120117_www.bbc.co.uk_ad83ea8e08d8bd9271e717ba6eeaff8101d3e810c810c17c84451469	54.46	93.96	38.34	0.00	0.00	0.00	171	11	275	0	0	19
20120117_www.mirror.co.uk_33b2a6dd191f2233bfa3c1ef3a49c492b505832883d3050e1940961b	92.72	94.49	91.03	0.00	0.00	0.00	497	29	49	0	0	19
20120117_www.nzherald.co.nz_63f4577ddd683088d27fd6492f831bb6a82726aa2da4eb42f87e9961	92.09	93.35	90.86	0.00	0.00	0.00	646	46	65	0	0	29
20120117_www.yorkshirepost.co.uk_50c87a669df9177b29c3a5d3019d875e04957d02d996b8bb2aac1801	93.20	96.24	90.35	0.00	0.00	0.00	384	15	41	0	0	16
20120112_www.forbes.com_06573abe0d2325fb80b1052a1c35174ba5f221041c38d5faf508b603	93.31	94.01	92.62	0.00	0.00	0.00	565	36	45	0	0	9
20120112_www.cbc.ca_130930eda8db2366fb07c8bcc86b1a960ac1e07d67e36909de294ace	87.39	88.94	85.90	0.00	0.00	0.00	201	25	33	0	0	10
