file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111209_www.we-dwoje.pl_19af8fed1feb67d7ad17ceed91f60bbcb0845ec57d5132df8c16e255	48.53	33.19	90.23	0.00	0.00	0.00	314	632	34	0	0	8
20120104_www.money.pl_e7ba8f2d7d697eb07d171de9f2d33a494d57e2fc44dce04b805450e1	87.23	85.38	89.16	0.00	0.00	0.00	181	31	22	0	0	7
20120104_www.gk24.pl_c95d8af5117520c86cf6a43247756d8a8bcfe62435ca0a8d4256662f	89.90	96.46	84.17	0.00	0.00	0.00	218	8	41	0	0	8
20120105_www.we-dwoje.pl_a34f720362e69f95128b20da89e6b87e248575d82e80acd0c12e41ad	95.53	97.40	93.74	0.00	0.00	0.00	599	16	40	0	0	15
20111121_www.biolog.pl_df35442bc753c25dd6c3d261cac577b2e83b5f6405dfa1fbc7b3711d	95.38	98.89	92.11	0.00	0.00	0.00	712	8	61	0	0	17
20120106_www.pomorska.pl_319b22943ec4e778a564cf08846303ca7caac14778d50ab4dcc555d5	96.68	98.93	94.54	0.00	0.00	0.00	1108	12	64	0	0	26
20120102_www.zdrowiutko.info_4af7429d6f7b3967f666b89eea7bef64cc89f5b13fb8a366a7b5fcf9	88.25	85.38	91.30	0.00	0.00	0.00	777	133	74	0	0	30
20111207_www.biolog.pl_1217f2298aedb3f437a8ad8f951d4a5fd72f73453f3a1ad483247983	93.23	99.66	87.58	0.00	0.00	0.00	289	1	41	0	0	9
20111121_www.zdrowiutko.info_974b6000f979b037cca015e83a107762db4890e6216ad7767d15ebbf	92.20	95.80	88.87	0.00	0.00	0.00	479	21	60	0	0	20
20120104_www.rmf24.pl_f855b922968bad3aad3e602bffd0cf52f85e6310bcdccac4cc775317	81.60	85.64	77.93	0.00	0.00	0.00	173	29	49	0	0	7
20120106_www.rp.pl_0c673e6f222d11a2e838ee625217077fdbd48353bf73ad3d4ff6ff47	86.68	86.19	87.17	0.00	0.00	0.00	231	37	34	0	0	7
20120106_www.nowiny24.pl_7f85e13888ff7478c6e1bbb27628ac8bfa7741bdde10abab79aaabbc	91.79	92.72	90.88	0.00	0.00	0.00	548	43	55	0	0	21
20111121_goodcontents.net_daca031b3afb62aa1c5ae330893841cfd517220dc0be08ce017e26d7	93.47	93.59	93.35	0.00	0.00	0.00	365	25	26	0	0	7
20111209_www.biolog.pl_f8a9a3a7e56a47890452bd092305ca15eaaf850b48b6935084628b48	79.34	80.67	78.05	0.00	0.00	0.00	96	23	27	0	0	4
20120106_www.rp.pl_af88e8921fbd34d5545ac12ebf8e46776b2fd5e237f17d8488e67f6b	96.23	99.84	92.88	0.00	0.00	0.00	639	1	49	0	0	14
20120106_www.rynekzdrowia.pl_65763a4d2634741e77cdcbdafb1f17ea37275efbe4a1ced9bba9f2ea	89.19	94.96	84.08	0.00	0.00	0.00	132	7	25	0	0	6
20111207_www.biolog.pl_f7b095a5f67da611db46b0033f53bbf0d6d1d6b0965661dc74629464	92.61	98.95	87.04	0.00	0.00	0.00	282	3	42	0	0	10
20120102_www.biolog.pl_da4971d5a8258ca16606d2a4af7b3ff5a43a04116e50017b5794f1e6	94.08	97.11	91.24	0.00	0.00	0.00	302	9	29	0	0	9
20120106_budownictwo.wnp.pl_ff337b320fa04ea7f0dd72f85bf1de4cbc93f521cd4a02457e6e86d2	67.91	88.65	55.03	0.00	0.00	0.00	164	21	134	0	0	8
20120102_www.biolog.pl_7c3b047ae678cbf0aab0b7b7dfb357b3d41868b90f16f3b227a3c491	93.81	95.44	92.23	0.00	0.00	0.00	356	17	30	0	0	9
20111207_www.biolog.pl_cbef94652e0301b7efa01a61b323fa8e7d1c79ebaa36eb50ede8f7b0	87.97	99.07	79.10	0.00	0.00	0.00	106	1	28	0	0	5
20120106_www.rynekzdrowia.pl_bdc5c2b80ed23617eb900252991d90d4656ade58157d2e3e2bafc26b	92.05	94.77	89.47	0.00	0.00	0.00	272	15	32	0	0	9
20120106_www.wspolczesna.pl_0dd3592e0d200f6516534c023c04eb4e8984fee26436878ad80e2855	91.70	89.65	93.84	0.00	0.00	0.00	762	88	50	0	0	17
20120105_www.we-dwoje.pl_b0db55778e8821d208c8ac62c8d13d45383eb82b029b30856cfb9423	88.14	91.99	84.60	0.00	0.00	0.00	379	33	69	0	0	14
20120102_www.biolog.pl_306b8101d03d29a1ee66c57786538a26ee98577075c873767a787a68	91.48	95.92	87.44	0.00	0.00	0.00	188	8	27	0	0	8
20120106_www.rynekzdrowia.pl_f07b63d1c1fbbffcd623b0c5bd041de2120ee38f6929245adcff13b1	89.32	97.87	82.14	0.00	0.00	0.00	138	3	30	0	0	5
20120106_www.rmf24.pl_505b49e74cd20ee7c8f10d2026d3bf8fdf91537debf2e3952286ded5	43.03	32.27	64.55	0.00	0.00	0.00	71	149	39	0	0	5
20120106_www.polskatimes.pl_cbecb1cdf021db05874d2a890ff464ba725e9083213745397b5a4bb6	29.01	17.80	78.28	0.00	0.00	0.00	191	882	53	0	0	11
20120106_wirtualnapolonia.com_bafb21f000c3042db55f8b3f13a5c43c5a9178fcb520f76dc7ff0ca9	90.82	89.16	92.55	0.00	0.00	0.00	584	71	47	0	0	17
20111209_www.we-dwoje.pl_9e19ffb372d06c9036e7d4c5e06c9f05fa5c86cc123c68e23e7640e7	96.00	97.96	94.12	0.00	0.00	0.00	384	8	24	0	0	6
20120105_www.we-dwoje.pl_6ed54a3f163ad1ffe0cf00805c28afdcf78b018b370957c05e219bf1	96.87	98.31	95.47	0.00	0.00	0.00	696	12	33	0	0	10
20120106_biznes.interia.pl_9a6726be57cae3560f578c7b15519ddb4fb7b474fdcddd62a38534aa	83.76	86.84	80.88	0.00	0.00	0.00	330	50	78	0	0	10
20120106_www.gazetawroclawska.pl_41a7b3773550523a9741d29845aaaee9e977bdfd01901850f9563329	92.05	94.55	89.67	0.00	0.00	0.00	434	25	50	0	0	19
20111209_www.we-dwoje.pl_1c0a491674db2d2724388d3fb0c5682dd6a80cdaa873938b214330d2	95.73	96.32	95.15	0.00	0.00	0.00	707	27	36	0	0	11
20120106_slask.naszemiasto.pl_e4f5f61fdc3d25a8a225b4d8ca7d6940dfab791aade48c19aa6d890a	93.91	98.33	89.87	0.00	0.00	0.00	470	8	53	0	0	19
20111207_www.zdrowiutko.info_458120636c549e2575a4fe998f7365f52987c6e61bac575a78e55e6d	61.60	47.99	85.97	0.00	0.00	0.00	239	259	39	0	0	8
20120106_www.kurierlubelski.pl_f30bc4a6f30f2cf37d811cf421a158e5705660cbaf1aa09a0d5abf79	8.07	9.68	6.92	0.00	0.00	0.00	9	84	121	0	0	6
