file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120106_rus.ruvr.ru_2c27d04d251b4d73039acc34e424b755e057a4bd0832f98b0906f893	66.29	53.14	88.10	0.00	0.00	0.00	237	209	32	0	0	7
20111209_www.kleo.ru_01f4205128c9fd41669466012d3659ec55d784ba06a1f5cef6627144	93.33	98.94	88.33	0.00	0.00	0.00	280	3	37	0	0	7
20111128_www.argumenti.ru_d2d7845efedd98f5e11c23fb1c7d10bdb66f7b3002b2bcdddf040508	87.12	95.30	80.23	0.00	0.00	0.00	142	7	35	0	0	6
20120106_www.nr2.ru_71e3ea912507bd41bba2cc41352cfafa45e1641fe1347594a3ed38df	1.57	1.37	1.84	0.00	0.00	0.00	4	288	213	0	0	4
20120106_www.nr2.ru_7d0cc61b526813d7fd9e38de4e7f86c3c505e47061e61e59a8bd0c1a	2.11	1.37	4.55	0.00	0.00	0.00	4	288	84	0	0	4
20111128_top.rbc.ru_5c0edc0481444061258af4069db91fe6003a388f102b526776f6a15c	94.81	97.71	92.09	0.00	0.00	0.00	384	9	33	0	0	9
20120106_informpskov.ru_5570171e07dc222858be5bc0f2e630e5532d4c43e3a24eb461c2b758	1.34	0.97	2.14	0.00	0.00	0.00	3	305	137	0	0	4
20120117_www.argumenti.ru_da9cf21b1564b946eb14c4f6762c84c0daa3e93c341db2c1da63770e	82.02	91.25	74.49	0.00	0.00	0.00	73	7	25	0	0	5
20111128_www.1news.az_9bd2b46a12104cd121d8cbb677b1708a235a8f0e0c250d961ebbd3f7	87.71	92.96	83.02	0.00	0.00	0.00	132	10	27	0	0	5
20120106_newsru.co.il_563f6804e34cfc95a8b4fe9b134a0f9a496663a67f010ba3441a3580	84.53	91.38	78.64	0.00	0.00	0.00	265	25	72	0	0	11
20120106_www.rbc.ru_1ab78a77169231ecf2987dcde3559f5cf50d75d1ec92f85d65363a6b	63.37	95.61	47.39	0.00	0.00	0.00	109	5	121	0	0	5
20111128_www.1tv.ru_5af4c17fcfdecef58f591577f57941711ffc6b4d16e9eddf99a2c1ad	65.12	52.00	87.08	0.00	0.00	0.00	182	168	27	0	0	6
20120117_saratov-times.ru_6a4d4ac1088bedc1a7e769ac2e70dcc1f2238360c574ea6a9f8cd4ca	93.81	96.81	91.00	0.00	0.00	0.00	182	6	18	0	0	5
20111128_www.aif.ru_8615176c4de88091217e66433b654d812ceb3aa888504cc5c65da372	83.33	82.94	83.73	0.00	0.00	0.00	175	36	34	0	0	6
20120117_ivona.bigmir.net_0cb32453003aafa4953d364771f630637f59cf3eb9b733e9ee477fff	77.02	90.51	67.03	0.00	0.00	0.00	124	13	61	0	0	11
20111128_www.regnum.ru_2fa9d5942fcceffd25ca1213414b453701bf63d7acaaf43c1501577e	63.47	92.17	48.40	0.00	0.00	0.00	106	9	113	0	0	5
20111128_www.argumenti.ru_3856c6cacc27b32a352e85762bcfbc18a151c60fcfab034c8b6de39c	78.82	93.06	68.37	0.00	0.00	0.00	67	5	31	0	0	5
20120106_www.newsru.com_972d7ff809b13d7a617f1d3f52416749ccd28522c84575c2bf5ff9df	89.47	96.28	83.56	0.00	0.00	0.00	544	21	107	0	0	14
