file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120117_big5.xinhuanet.com_5f7f9444353f95b6c7518ad991509ade97d04238e499aad869ac29b4	7.41	14.29	5.00	0.00	0.00	0.00	1	6	19	0	0	6
20120112_udn.com_70202d9eb7946cbfed2a44bfd38c0e94503cfb8198d97aabd5f331fe	10.00	100.00	5.26	0.00	0.00	0.00	1	0	18	0	0	4
20120117_news.sina.com.cn_6a8048c439cb1aef53909a39d207aa8b359cdac657260385da57c2e6	3.17	5.26	2.27	0.00	0.00	0.00	1	18	43	0	0	18
20120117_news.cnyes.com_2db0d93e96d90ddb1b1238032fe326cca2807410ba42bb6ea6417b58	5.00	7.69	3.70	0.00	0.00	0.00	1	12	26	0	0	9
20120117_news.sina.com.hk_ce85f208a65c745a73a15f8be1662e52f3664e1d21ac51e0f758fd8c	10.00	15.38	7.41	0.00	0.00	0.00	2	11	25	0	0	7
20111215_finance.ifeng.com_2ebe785ae70cc924e6d78a61cfb3bbe9e418d8ee1ccfbb9f29585e03	12.12	20.00	8.70	0.00	0.00	0.00	2	8	21	0	0	6
20120112_www.jfdaily.com_a163a9d32674060a78c2e5f3d85a3d99f946b95ac151cb04cc8ceaf3	14.29	20.00	11.11	0.00	0.00	0.00	3	12	24	0	0	8
20120112_news.sina.com.hk_61c22616d643454ee46af79eb6feff8de6a9a4f5c965129bf7e2c7b9	28.57	46.15	20.69	0.00	0.00	0.00	6	7	23	0	0	8
20120117_news.sina.com.tw_cdae9ea7d9d69b31c2189a800f96d0ce218b727414c4eaf954be01f4	5.56	11.11	3.70	0.00	0.00	0.00	1	8	26	0	0	8
20120112_mnc.people.com.cn_8c642d4bc2cce3bf8d8018e18851cdd5bdae940ab1da9f1a9e93214d	3.57	7.14	2.38	0.00	0.00	0.00	1	13	41	0	0	16
20120112_news.hexun.com_3e9a936bbc721ebc707456dff07a5af4ffd11188b4b3d5000cc56db9	4.88	14.29	2.94	0.00	0.00	0.00	1	6	33	0	0	13
20120112_news.chinatimes.com_e998ec0102accd2f573ca7998f029576a3cd7d1e09ad10d5df3b6d61	5.56	8.33	4.17	0.00	0.00	0.00	1	11	23	0	0	6
20120117_member.nownews.com_da91518f33c9dcc7c7d3a3b2a502aa5945877e098fd55ec1fc05643f	8.00	33.33	4.55	0.00	0.00	0.00	1	2	21	0	0	7
20120112_iservice.libertytimes.com.tw_7c67349bdc47840732a1e335662bf8d62d64001f1c9c7ff19d7baac8	31.58	32.14	31.03	0.00	0.00	0.00	9	19	20	0	0	6
20120117_finance.ynet.com_660acfc31310c59631135a660b50de3a4abf75a443e1faa519783369	3.85	8.33	2.50	0.00	0.00	0.00	1	11	39	0	0	14
20120112_money.gucheng.com_b5a9f9b57ba46d4456e8ae6d2fbf78fa9cfdf38a6dda636ac0a0fbb2	7.84	11.11	6.06	0.00	0.00	0.00	2	16	31	0	0	12
20120112_www.awakeningtw.com_2fbe31afa40df01777b0eb38f9645a3656d8131b0cc91eb4a4fd27ef	5.88	6.67	5.26	0.00	0.00	0.00	1	14	18	0	0	5
20120112_biz.caixun.com_44f113af12f514217bc1106fb2a3bca051899b1969229cd8f8aeef92	3.03	20.00	1.64	0.00	0.00	0.00	1	4	60	0	0	20
20120112_xm.city.ifeng.com_132b367e56a650b9d106ecce3fea7c9db7d416c6195f748d11df32dd	7.14	20.00	4.35	0.00	0.00	0.00	1	4	22	0	0	5
20120112_tech.hexun.com_231edef93acd0248eb06acf775ef87ab5c3d35a4ab5ba14b356a71d7	5.13	6.25	4.35	0.00	0.00	0.00	1	15	22	0	0	8
20120117_www.bcc.com.tw_1adf7f2fd9d20102a2abfe045d6bc4bc2890a43554caea3b81ab0787	18.75	27.27	14.29	0.00	0.00	0.00	3	8	18	0	0	5
