file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111110_www.express.gr_004288b23e8124db70326e1ab7a0a03f5d153453798f7598c3c548b9	3.36	1.71	93.90	0.00	0.00	0.00	308	17675	20	0	0	7
20120106_www2.rizospastis.gr_06396d8fa53c5b4e72a96d668b31aa1ecf07ab9d94f8eb442ca04b5c	2.55	1.31	56.10	0.00	0.00	0.00	23	1738	18	0	10	2
20120106_www2.rizospastis.gr_a1a26f86a33c6a34853eaea42092a9963f9085a492a93cfa6bec8c5d	38.42	24.70	86.39	0.00	0.00	0.00	514	1567	81	0	27	18
20120106_www2.rizospastis.gr_802011dc8844d88519901fcb001b74d86ff3d3a1ceec7f2f606b8712	14.15	7.69	88.89	0.00	0.00	0.00	144	1729	18	0	10	2
20120106_www.ethnos.gr_4acbe762fc9067b1ac711dc400e09f5624e11cb5cecba6dd3f11863e	20.71	11.66	92.19	76.92	66.67	90.91	496	3757	42	10	5	1
20120106_ygeia.tanea.gr_895bdbab456571b6ba8bbfccf42a7a4217e64a02b0be91c3631f21d7	45.68	29.98	95.89	88.89	95.24	83.33	700	1635	30	20	1	4
20120106_www.madata.gr_4a84a307028016904aae04b4c8eea2f151bc26c63e1e71df15a7a8a9	4.27	2.19	80.81	75.00	100.00	60.00	80	3565	19	3	0	2
20120106_www.tovima.gr_00f8666084f9c41f6d9145a78c5b5d9126027542441e457f57a2fa9f	10.64	5.64	93.04	78.57	91.67	68.75	508	8495	38	11	1	5
20120106_www.tovima.gr_a909b8f3df1e94341cfaa7fbecabb510252279fdea3f2ac2ac842bbd	8.19	4.28	93.51	58.82	71.43	50.00	346	7731	24	5	2	5
20120105_health.in.gr_4a7cc31923297628d65e4bb867cc70cd36d4943d943638e7c5c67110	17.17	9.49	90.57	0.00	0.00	0.00	557	5315	58	0	5	17
20120106_www2.rizospastis.gr_c352ca0c0cc3030f7761de320e1c1825c6f85c3dd5bfe13daaf99b9a	70.75	56.39	94.93	0.00	0.00	0.00	2432	1881	130	0	51	39
20120106_www.ethnos.gr_0710aec251283d5eed5180a4665fa59e885d40dc7c75840e6971c723	10.18	5.39	91.67	70.59	66.67	75.00	198	3477	18	6	3	2
20120106_www2.rizospastis.gr_38caad2915651ddcf48231eb5f4ab64cd6a7b92c8c02b513f402d29e	34.13	20.88	93.43	0.00	0.00	0.00	498	1887	35	0	14	6
20120106_www.avgi.gr_3cc4bf6093a74036e685b4709dae2c2f5d4c07e66a987333b7edf9a9	25.05	14.49	92.09	40.00	30.00	60.00	198	1168	17	3	7	2
20120106_www2.rizospastis.gr_15e09c5191562721dc271c7419642f4682e5f4d35452267b4c8417c9	20.31	11.48	87.77	0.00	0.00	0.00	244	1881	34	0	12	4
20111222_www.express.gr_95ab89f215d2fbfc626d18e0207d95c6ae39e790098120fc76942422	3.23	1.64	94.27	0.00	0.00	0.00	296	17739	18	0	0	6
20120106_www.rizospastis.gr_b3a2647643910af92a4e94aa6af092dd222b919c18104ca46e5148fd	21.38	12.13	89.91	0.00	0.00	0.00	205	1485	23	0	12	3
20120106_www.rizospastis.gr_dbae745f644cb04526ce737e48bbcdf1455495bd43c6ee3c7407fdfe	17.81	9.90	88.68	0.00	0.00	0.00	188	1711	24	0	12	4
20111108_www.express.gr_05963c5c8f8e6c81583d2f0d1516236a680d1f2bcf814a5e9c3cd66e	3.91	2.00	94.49	0.00	0.00	0.00	360	17679	21	0	0	7
20120106_www.sigmalive.com_be320757a36a7237f5e642f4df70bd00edf441e223aac4626bc69fab	12.04	6.44	92.76	88.89	100.00	80.00	141	2049	11	4	0	1
20120106_www2.rizospastis.gr_e0ff09814e6314a1f4ca461b8906c10019e8b6a9485efaa189f114a5	38.62	24.86	86.53	0.00	0.00	0.00	649	1962	101	0	26	19
20120106_www.tovima.gr_8ed6c47955eb9c05bf7864d13d7cabf2127e43f6b87b5ff1cabe3c68	7.09	3.69	88.56	0.00	0.00	0.00	325	8472	42	0	1	9
20120106_www2.rizospastis.gr_41d4e64dcd0c98b6230384caa2b7c344d9e5f29d2cede980c9903f76	56.06	39.82	94.64	0.00	0.00	0.00	1219	1842	69	0	25	17
20120104_www.ethnos.gr_67fb7f6b381c4bd32020a7aefaee9ac33c52adb36a9edda980196644	4.36	2.23	95.24	72.73	66.67	80.00	140	6142	7	4	2	1
20120105_health.in.gr_004c53da77f6a9296a961382585a3245aa5e4b1d2a8c27b2c0b05f0a	13.03	7.03	89.06	0.00	0.00	0.00	407	5384	50	0	6	17
20120106_www.tanea.gr_d60bfacbf5fe60959518fa29c45294f3545a0fe1531af25daffb1863	13.94	7.55	90.21	0.00	0.00	0.00	258	3158	28	0	6	7
20111125_www.express.gr_14f9f62d33e82fd04a24eae22121a78d1c99a4d02c2379150e9318f6	4.32	2.21	92.81	50.00	66.67	40.00	400	17694	31	6	3	9
20120105_health.in.gr_e8edbd1ecc4b35d45dc569b9758af3498eba78c3aed809bb0269a1c1	13.65	7.41	86.97	0.00	0.00	0.00	434	5424	65	0	6	15
20120105_www.iatronet.gr_3c658790e4145694b954a2018111cf5dab6c85e8da48b0d9a9957e9f	5.02	2.60	71.62	25.00	50.00	16.67	53	1985	21	1	1	5
20111205_www.express.gr_b669808e9650e397551acabb032c65d63dba53ccc910d40902cee95b	2.19	1.11	91.67	0.00	0.00	0.00	198	17679	18	0	0	6
20120106_www1.rizospastis.gr_efb243352900c75b75af5f47c36ab1410908dd5082cbde5280654b01	22.69	12.96	90.84	0.00	0.00	0.00	228	1531	23	0	12	4
20120106_www2.rizospastis.gr_27192fd83b2742940e079905c57769efee7280c0f2a70e8b7fe1b109	62.73	47.05	94.08	0.00	0.00	0.00	1637	1842	103	0	29	23
20120106_www.kathimerini.com.cy_1237811088607f097f4d460a3f33776468f75970e9775b9b4f2a42dd	5.13	2.65	83.94	0.00	0.00	0.00	115	4228	22	0	1	5
20120106_www.amna.gr_63874c0c8c5825f85331abfdd9129f20078402387c8fe7c0c64c1a8f	34.18	20.98	92.11	83.33	83.33	83.33	432	1627	37	10	2	2
20120106_www.tovima.gr_5940ed0617315b880dbed5f098069a51cfe09eb6bdf4e07a2e64211a	5.22	2.70	83.70	0.00	0.00	0.00	231	8339	45	0	1	8
20120106_www2.rizospastis.gr_987eb735663b2778b1d789a57bf7c111241aa8c44270b4d6196fb144	36.66	22.93	91.29	0.00	0.00	0.00	566	1902	54	0	17	12
20120106_www1.rizospastis.gr_aadc308f71018447452ad6fb40067cf4dd6d6d31be27f50a2d32b713	42.52	27.74	91.01	0.00	0.00	0.00	719	1873	71	0	20	13
20120106_www2.rizospastis.gr_994b5549682886b3f7f65fe5e3b48366dc450fdaa1bbb9ffe1e49a2e	32.16	19.89	83.99	0.00	0.00	0.00	472	1901	90	0	36	28
20111121_www.iatronet.gr_daefc5bd65a1d9515057b7a1afbf8d982af1d43e9005e12c065047f8	15.71	8.61	90.17	44.44	50.00	40.00	211	2241	23	2	2	3
20120105_www.iatronet.gr_5eec159d756e40bbe033d83be4fe03418495c4dc5af85999663a58f0	4.99	2.57	82.81	40.00	50.00	33.33	53	2006	11	1	1	2
20120105_www.tovima.gr_dbcf2d57f1b76bdc40669c282840a3409b8c518581e85ce81e4daf9f	12.44	6.72	83.08	0.00	0.00	0.00	324	4496	66	0	1	13
20120106_www2.rizospastis.gr_e5563fdfa8d064db1c5e31fef6b5477f92e8fd3acf6304c327db26b5	21.79	12.56	81.99	0.00	0.00	0.00	255	1775	56	0	18	11
20120106_www2.rizospastis.gr_6c1891ba7050580ca6c1d46be688b48b0f2000aac3b0b3eb370922bf	30.15	18.09	90.32	0.00	0.00	0.00	336	1521	36	0	14	5
20120106_www1.rizospastis.gr_3bceecc05f9f8ed4e10be7860293dab4aa6615fc4245f6889c0f75c8	18.27	10.15	91.38	0.00	0.00	0.00	212	1877	20	0	10	2
