file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120112_online.wsj.com_078a9cdd4b90e6cb0fd7112799485760d0fc0ee223259c46111498e8	13.74	7.39	97.52	28.57	17.07	87.50	708	8871	18	14	68	2
20120112_www.ctv.ca_212977300121cb60ac349698924e039bf25162fd18da3179df05166a	7.57	3.94	96.69	16.82	9.28	90.00	321	7825	11	9	88	1
20120117_www.vancouversun.com_645c3e13b7ed69829ebfa404ab367f5d607585e3408017d5053f2cca	8.18	4.31	82.50	0.00	0.00	0.00	363	8067	77	0	37	19
20120112_yourlife.usatoday.com_ebe50592eeff17817363219c543164cc48dd75d9b67e95c8cb630c69	32.05	19.54	89.08	13.79	40.00	8.33	628	2586	77	2	3	22
20120112_www.businessweek.com_a005cdc19204ac2e3d4a5b818aa8c77e5968802888d329495c31085c	48.18	32.20	95.60	85.71	90.00	81.82	304	640	14	9	1	2
20120117_www.nydailynews.com_dbfe488b757fbf3551f5c7b2dd4a68fbf3eb263f65d52756519d0ebe	15.06	8.19	93.61	62.96	50.00	85.00	381	4271	26	17	17	3
20111215_www.metro.co.uk_59956104e4f612d6f61f5497ddfdfea1352c597763ea33c207929059	17.88	9.90	92.02	88.89	100.00	80.00	242	2202	21	8	0	2
20120112_capsules.kaiserhealthnews.org_bd950f35c3d4bbfedd3679aa8ed5911ac1670d24388a5c68bc43101b	36.88	22.84	95.78	60.00	47.37	81.82	454	1534	20	9	10	2
20120117_tribune.com.pk_f982bbb2b1b6d22a3c33fba07b265a1c8be69562b8d48f773729c81b	26.86	15.68	93.36	64.62	52.50	84.00	689	3704	49	21	19	4
20120117_www.cosmosmagazine.com_ca99584dc34b621b196e5469128147ca2a2596f9ef72cb11548df45e	64.55	48.41	96.83	75.56	68.00	85.00	793	845	26	17	8	3
20120112_newstonight.co.za_4947d97c403248217bb6c561819984948d4ea0f93eddebb8bed85820	24.27	13.89	95.80	60.00	50.00	75.00	319	1977	14	6	6	2
20120117_www.straitstimes.com_bd59413015818e41702e70acee39591dd6c12b52dd4c4e1df12fd833	4.29	2.20	90.65	11.11	6.06	66.67	126	5609	13	4	62	2
20120117_www.vancouversun.com_bc6137a56083e9dab259a97f6bde13f07d4c97b1dd27b66335eb8127	17.94	9.87	98.05	96.67	100.00	93.55	756	6901	15	29	0	2
20120112_www.calgaryherald.com_2d319a6f950e9c0f3569098d55658d4719c7c4f902c3627cb39a9cf7	9.14	4.82	88.69	0.00	0.00	0.00	753	14867	96	0	35	33
20120117_www.theglobeandmail.com_36ea6f6eaa3cef710ab028cb216c78e11fb821c228bf17694d43eedd	13.92	7.52	93.07	77.78	82.35	73.68	671	8251	50	14	3	5
20120117_www.ctv.ca_c0c7faf0396c90b75a307acbd2afa92f8ba4ec226b64ad3af584feba	0.85	0.43	85.00	1.67	0.87	20.00	85	19894	15	1	114	4
20120117_www.yorkshirepost.co.uk_50c87a669df9177b29c3a5d3019d875e04957d02d996b8bb2aac1801	15.86	8.65	94.82	68.42	59.09	81.25	403	4254	22	13	9	3
20120112_www.usforacle.com_f2891c69339edef2dbc4a373f6ae6dd076bba28fb00514a78a3453eb	36.46	22.93	88.90	82.35	75.00	91.30	713	2396	89	21	7	2
20120112_www.sunderlandecho.com_c306b8c96a9bba70a2a2093dc16cbd8e0890f9f3d2072429d3b8c95a	22.61	12.78	97.97	66.67	52.17	92.31	723	4935	15	24	22	2
20120112_www.medicalnewstoday.com_15b285f600b9236be7ce88cfb81f1a5a229f078321d2e94265ddb1ed	20.80	11.74	91.12	0.00	0.00	0.00	595	4474	58	0	7	20
20120112_www.google.com_16ba7af039d5e83a5722d8de6bdf55167ee80ce457b03f27739be3c7	53.16	36.60	97.11	87.50	87.50	87.50	370	641	11	14	2	2
20111215_www.bloomberg.com_89eb5fb6f715c79f7b80b996dcbdfe57e6f6837e3fb513c7948dee1e	8.63	4.52	92.80	63.16	66.67	60.00	335	7072	26	6	3	4
20120112_www2.canada.com_061c2254d186cba1de8bc740da2f39c8df5b5bd530b2e1f27df8b166	26.01	15.09	94.11	52.63	39.47	78.95	575	3236	36	15	23	4
20120112_www.manufacturing.net_ad45736475db03b9536eef3cdb34ccf60f9ef07dc912bcfcf4245260	26.41	15.58	86.81	90.00	85.71	94.74	566	3068	86	18	3	1
20120112_www.businessweek.com_2a21025f6f4dc13c9eb8ebf3d249f3fd66c6dd25a65a594f0083b2b7	21.66	12.31	90.00	0.00	0.00	0.00	414	2949	46	0	6	15
20120117_www.dailymail.co.uk_c34acbbc260a94c894ed42d9e6fc75a03c008fdf32e31f38a73a156e	7.36	3.84	89.64	0.00	0.00	0.00	372	9315	43	0	15	12
