file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120102_www.biolog.pl_183e757bd483767ac212b27981d1402ba1ff5227c483a602136df269	25.46	14.86	88.69	41.18	29.17	70.00	251	1438	32	7	17	3
20120104_www.dziennikwschodni.pl_ad40f4f3a1266d2e52ccffe5152ed2cb028bffd13f63945b28482ad5	6.27	3.26	83.59	2.44	1.37	11.11	219	6506	43	1	72	8
20111207_www.we-dwoje.pl_aadc8a9177b08dbda4327b28103e911dbf959368dee591196e2b8732	15.26	9.23	43.95	11.76	50.00	6.67	294	2891	375	1	1	14
20120106_www.rp.pl_0a2fef2ce0fb91690f53b9cfd4b17f49954454fdc027a1564c221801	6.86	3.56	92.72	66.67	66.67	66.67	191	5172	15	4	2	2
20120105_zdrowie.gazeta.pl_807feadb4f7538020b02fffdd328dcf15ad7ffa9e2c99e909a6aea4c	10.27	5.45	89.90	0.00	0.00	0.00	187	3246	21	0	5	6
20111121_www.we-dwoje.pl_9f7aacc1303f4dae00f6594fb8eb1a68d0fe8837de7656e3d51d9b2c	29.36	17.92	81.14	10.00	33.33	5.88	611	2798	142	1	2	16
20120106_fakty.interia.pl_bf1e8b627d609dfccbc71a5f1c6e6863c33deaa04224c5b4813eb89a	4.54	2.34	81.28	44.44	31.58	75.00	165	6900	38	6	13	2
20111121_www.we-dwoje.pl_8c003eb18e2580bb67b442bf5aac95120358d8aabd18cd09bb741d02	18.64	10.44	86.78	36.36	50.00	28.57	315	2701	48	2	2	5
20111207_www.we-dwoje.pl_ab4552f2e110cd485bed759da10cfa9a6dc889949b176ca65eecf492	9.48	5.03	82.01	44.44	66.67	33.33	155	2926	34	2	1	4
20111121_www.we-dwoje.pl_15d4a9a21844a96792bcbacd1aba7a58970b04e527ad8841c011f67a	15.52	8.54	84.81	83.33	83.33	83.33	240	2570	43	5	1	1
20111121_www.we-dwoje.pl_ac186aa43766087c14f3a3f6c5ba25b926217085d643fa543350f4e2	22.91	13.20	86.42	85.71	90.00	81.82	420	2761	66	9	1	2
20120106_www.se.pl_ea137bcaf50077a26f14a2542ce3dea20236f1a6c13d1ca328439174	3.70	1.90	77.11	36.36	28.57	50.00	64	3309	19	2	5	2
20120105_zdrowie.gazeta.pl_a05040639849ad92fa134645eed582bad1115aee5e2f8c68c1db28f5	13.61	7.37	88.14	0.00	0.00	0.00	260	3267	35	0	5	11
