file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120112_www.nownews.com_eb45d1946b6c142b49ee085e191d2fe389bbd6d71ffe5e55bd88c8eb	0.66	0.33	31.03	58.82	71.43	50.00	9	2708	20	5	2	5
20120117_news.163.com_0d1a6453522f125c7b37f7d058f0cf6b9934ed859b6dc81ef49b0687	0.82	0.42	46.51	78.57	91.67	68.75	20	4792	23	11	1	5
20120112_tj.city.ifeng.com_eacd6662fcb791a31d1e77086fe2c8f25b27970758849a0fec4a380c	0.30	0.15	39.13	76.92	71.43	83.33	9	5959	14	5	2	1
20120112_www.chinanews.com_ef36a14b64d4ea5e682eec23bd10cf2763a1bd71efe89fee0b52132e	1.30	0.66	52.00	83.33	100.00	71.43	13	1963	12	5	0	2
20120112_www.chinanews.com_6207629cafc417d54bd1822bf064edef11155c2ed09c7f09ace45030	1.21	0.61	54.55	80.00	100.00	66.67	12	1950	10	4	0	2
20111215_go.rss.sina.com.cn_aafeeba11e45e7ebb2aed4383820f37e750b7379b36d54da6348307d	0.71	0.36	44.44	57.14	50.00	66.67	12	3352	15	6	6	3
20120112_www.awakeningtw.com_2fbe31afa40df01777b0eb38f9645a3656d8131b0cc91eb4a4fd27ef	1.39	0.71	42.11	66.67	57.14	80.00	8	1121	11	4	3	1
20120117_n.yam.com_537b19fc060daa878b99e7e69b8cf5c517bb73261ec8f431b514f0d2	0.67	0.34	40.91	51.85	35.00	100.00	9	2661	13	7	13	0
20120117_udn.com_e0ca1d746473cc2eb539db7aafbcc11d2ad0d87046e7f3e6f7cee2b3	0.50	0.25	25.71	12.50	14.29	11.11	9	3580	26	1	6	8
20120112_www.uho.com.tw_32bc40bd0bc9d207c376626e243ff012c92cac2f3ea4a4380385d583	1.16	0.59	40.00	91.67	100.00	84.62	14	2357	21	11	0	2
20120117_ent.ifeng.com_e791c1ba0648c993c02531c486dabccf6e263924d8370834f3728432	1.18	0.60	53.25	72.34	56.67	100.00	41	6813	36	34	26	0
20120112_news.163.com_071f8254e4e07bc153e281b906f0b2ab98338096b5766aacfbe1ace7	1.03	0.52	59.52	82.35	77.78	87.50	25	4766	17	14	4	2
20111209_www.cs.com.cn_7adc9e75b601e8da425dfefe17c6186067649864300c433fb9bb3e4d	0.63	0.32	36.84	38.46	23.81	100.00	7	2207	12	5	16	0
20120112_news.163.com_972ac77d9dbee30d44fdafd1cc3af17f165f4ecf3d7eed587b7e719c	0.49	0.25	48.00	66.67	62.50	71.43	12	4814	13	5	3	2
20120117_finance.huanqiu.com_371ddd8330897220bf1b9a60531e512d1a81f0bc6dbdeb6027d16736	2.32	1.19	50.00	57.89	44.00	84.62	18	1499	18	11	14	2
20120112_money.163.com_da3bc160cddd146f1ef435af92a61f401958ac081308d8ca4d3417ba	0.45	0.23	18.18	18.18	10.42	71.43	12	5198	54	5	43	2
20111215_news.163.com_778b3953af2c6d68f2cf653d3672caeba692c3335b0771cc4584f3d8	0.18	0.09	27.78	0.00	0.00	0.00	5	5610	13	0	3	3
20120112_tech.hexun.com_1e16b8da098834d41def313b729f5d2a66e32b713234b5392434da3b	0.80	0.40	36.36	31.58	23.08	50.00	8	1974	14	3	10	3
20120117_news.southcn.com_04699069dcb197048aeeeccc0ea9e8215bb0af0aa07a3ea025db9fee	1.85	0.94	57.14	90.32	93.33	87.50	24	2531	18	14	1	2
20120117_news.xinmin.cn_2cb0611a8b127e6691ecf5e74bd678122ffceabd2f9bfced1609dc8f	0.30	0.15	37.50	27.27	16.67	75.00	6	4043	10	3	15	1
20120112_n.yam.com_8f3cfbc3814427718278ea4562d3b3ab2ae4c3cd03e2ef402f7d2276	0.61	0.30	42.11	66.67	75.00	60.00	8	2616	11	3	1	2
20120117_member.nownews.com_df1f0f17386babc017d972da4b1ec6df43a8f23d63e99ba2912d4465	0.73	0.37	34.78	28.57	28.57	28.57	8	2167	15	2	5	5
20120117_news.sina.com.tw_a5daf201b17abd9921e8fcabe388b2646434bec3b4bf2a2ced09d5bd	6.11	3.17	85.29	83.08	75.00	93.10	58	1771	10	27	9	2
20120112_www.ntdtv.com_0da8aef9415d9156c1fcb1a9f8f18dd145acbf72a17c0c4fc5a09755	0.06	0.03	2.86	0.00	0.00	0.00	1	3443	34	0	0	10
20120117_mobile.zol.com.cn_10484cc04adb40a124682ed2b4195ca1e8df834140423ed40b843e87	0.44	0.22	17.24	22.22	25.00	20.00	5	2258	24	1	3	4
20120112_go.rss.sina.com.cn_68ce56ded0f11275e7b9282381c1ae730abbb464a33bc1c288d3effa	4.76	2.46	78.05	97.09	94.34	100.00	96	3813	27	50	3	0
20111215_finance.ifeng.com_96c4a559d7ef5f9357153996249f7626c36c313c032be42415659f9e	0.80	0.40	66.67	35.48	21.57	100.00	26	6447	13	11	40	0
20120117_finance.ifeng.com_72a1d43e9fe5bc73075f815184974e258af7222c0069bbf6f1d2e018	2.98	1.52	78.03	61.54	44.44	100.00	103	6670	29	36	45	0
20111209_finance.ce.cn_3d5502a97074009069edc19ec55e81c69c63cd2f8d07142b7229888f	0.36	0.18	10.00	25.00	100.00	14.29	3	1640	27	1	0	6
20120117_finance.qq.com_a445e3a4018f1a4760397b78787d22a99a2515b77871a55532cc2f27	0.16	0.08	20.83	36.36	50.00	28.57	5	6304	19	2	2	5
20120117_www.nownews.com_5f1738258a3871f732d65cc0cf470e4a9842d95f569fcf82d58dfb14	0.77	0.39	43.48	30.77	28.57	33.33	10	2573	13	2	5	4
20120117_news.cnyes.com_c580070bd60454f069cb44793979feda83c24cd9abe8f548d9fcc047	0.84	0.42	54.84	53.33	42.11	72.73	17	4002	14	8	11	3
20120117_www.uho.com.tw_74078be6d2cc8bb9d2ee47d03d877c4c7b659075c840c2336cb3ee7a	0.67	0.34	36.36	80.00	100.00	66.67	8	2365	14	4	0	2
20120117_gansu.gansudaily.com.cn_41587f7d47c92be43f75a02127d43c026a6594fbb1f1e7c810158281	8.18	4.44	52.46	95.65	100.00	91.67	32	689	29	22	0	2
20120117_iservice.libertytimes.com.tw_53c9c02e9aaa773c4f5cbfc36ea0e04b2140bb0be2b375de8a6cd20d	2.14	1.15	16.67	0.00	0.00	0.00	4	345	20	0	0	7
20120117_tech.qq.com_6c0927d372ff073d73475cb08a337d1710c79e73b96517bec98c70ad	0.19	0.10	11.76	33.33	100.00	20.00	6	6164	45	4	0	16
20120112_biz.caixun.com_44f113af12f514217bc1106fb2a3bca051899b1969229cd8f8aeef92	1.28	0.66	18.03	34.29	40.00	30.00	11	1649	50	6	9	14
20120117_www.worldjournal.com_ec606962b3e49717db72a7e6b56cd1fc02c39207c7a69abebea3178b	1.08	0.55	36.67	80.00	100.00	66.67	11	1999	19	6	0	3
20111215_finance.ifeng.com_c0f165a436f45895615d48be9b4d5678f953716f69941703566676da	1.19	0.60	68.63	41.18	25.93	100.00	35	5774	16	14	40	0
20120112_www.chinanews.com_03727cff74eb145266ad1e5bd91887772b3626d30038e1b4e03b92ae	0.54	0.27	28.57	0.00	0.00	0.00	6	2191	15	0	4	3
20120112_member.nownews.com_173e8ed8c3f20713718f29378fa11ac1cce47824077069f268920ec2	0.78	0.39	39.13	30.77	28.57	33.33	9	2276	14	2	5	4
20111209_tech.sina.com.cn_0fa41e8e44da0e347e00b35c8bca43b2eea9d8ec4cfb184f4b5a1be9	1.57	0.80	52.54	60.47	65.00	56.52	31	3864	28	13	7	10
20120117_tech.sina.com.cn_4b3e1627f928b5f9e1a076dfd6aa6b2fb9ea85bab63eee5ce5220847	0.53	0.27	40.74	28.57	18.18	66.67	11	4110	16	4	18	2
20120112_udn.com_181df04bd2a9bc02cd0fb7b0c434dc9417d32f2602f0841fd53b77cb	0.56	0.28	33.33	62.50	71.43	55.56	10	3559	20	5	2	4
20120117_www.ttv.com.tw_6b216dea3dac1ec23f71da42f3c1b1f9c3fa7239dc68bd2661225a8a	0.40	0.20	21.88	22.22	100.00	12.50	7	3433	25	1	0	7
20120117_news.cnyes.com_592b2511397aa55e4c84db224fac54a34cf5e5edc17c36ffcd043e05	1.38	0.69	70.00	58.06	45.00	81.82	28	4002	12	9	11	2
20120117_international.caixun.com_3fc603e537ba39c62e8b40234e20f2ae49e2e6f8d913bc3829db6b55	1.15	0.59	26.32	24.00	20.00	30.00	10	1692	28	3	12	7
20120112_mnc.people.com.cn_8c642d4bc2cce3bf8d8018e18851cdd5bdae940ab1da9f1a9e93214d	0.66	0.34	14.29	40.00	100.00	25.00	6	1784	36	4	0	12
20120117_www.china.com.cn_ac8037241a0626714878920aca605bdc2c911931adbaa83d35632ebc	1.28	0.65	42.11	66.67	75.00	60.00	8	1227	11	3	1	2
20111215_ent.xinmin.cn_177dcc6c9439f6f67decc8cf948b7ab891a1e9abd32fa4ceaaad3d32	0.39	0.19	42.11	27.27	16.67	75.00	8	4098	11	3	15	1
20111215_news.163.com_5194a8b3cb9b07f87c5bad393f14312f3e7b7b87d974e67fd4429f0b	0.57	0.29	57.14	73.68	70.00	77.78	16	5597	12	7	3	2
20120117_www.libertytimes.com.tw_9765d08b2688faf175a10de09cc08c9594f0862c9eba888b7d42e4c2	1.60	0.81	42.11	75.00	100.00	60.00	8	974	11	3	0	2
20120117_www.china.com.cn_91da541ce0539d9d3723b4ab72c41b25d2b45797989a0007a4806a51	6.08	3.77	15.69	27.91	100.00	16.22	40	1020	215	18	0	93
20120112_finance.sina.com.cn_500d9ad8476f99fd94a4d87b21004e29fc8ab5e801e66de9e0fb85b1	0.55	0.27	45.00	54.55	42.86	75.00	9	3268	11	3	4	1
20120117_finance.china.com.cn_8e0709ca02bc51379a22839e464be316eace735684ffd784f6364743	3.19	1.64	62.22	81.25	76.47	86.67	28	1681	17	13	4	2
20120112_www.hinews.cn_39afff3b049fd8f723cdc7d861cbe0f501acb5fc28852854b1227018	1.76	0.89	51.28	80.00	100.00	66.67	20	2216	19	6	0	3
