file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120106_www1.rizospastis.gr_c3012ca8ca2a0968b8e9e79641f4699f8044d3a08a73dcbdfc81bf91	2.71	25.81	1.43	0.00	0.00	0.00	8	23	551	0	2	9
20120106_www2.rizospastis.gr_a7a091cc3d3f43051c1d9936b8c624431e06cc68b33122edaddc992c	2.89	25.81	1.53	33.33	50.00	25.00	8	23	514	1	1	3
20120106_www2.rizospastis.gr_3cb716eac237f1f7bcf5b28ff4d03f53d7ad825635a4075941062dcc	2.88	22.58	1.54	0.00	0.00	0.00	7	24	448	0	2	8
20111221_www.express.gr_473b6f39b78009b8a0db81b690d50d060be6df0afb48d985edfe8725	2.29	11.76	1.27	0.00	0.00	0.00	10	75	778	0	1	22
20120106_www2.rizospastis.gr_cc72f28afe32a750460efbacbda4d57b6edff351688288a36a59523f	8.26	29.03	4.81	40.00	50.00	33.33	9	22	178	1	1	2
20111117_www.express.gr_3a7503f984e19276fafaee944f124abc40f5019f6d714fe776d3e51c	2.92	8.24	1.78	0.00	0.00	0.00	7	78	387	0	1	14
20111128_www.express.gr_5ea35f8d3f8677bfe844c9e4048385563cb9ad1bc53664318a3a6743	2.94	10.59	1.71	0.00	0.00	0.00	9	76	518	0	1	9
20120105_health.in.gr_004c53da77f6a9296a961382585a3245aa5e4b1d2a8c27b2c0b05f0a	9.51	36.23	5.47	0.00	0.00	0.00	25	44	432	0	5	17
20120106_www2.rizospastis.gr_a0f860cb41ae2c3b953cf235d185cf1712018cc407b444ab1e827c1b	4.29	22.58	2.37	0.00	0.00	0.00	7	24	288	0	2	6
20111216_www.express.gr_64ac71e0d5681563f3e75768aee0872c9de9ccdb8d10e14c5ba86360	2.17	11.76	1.19	0.00	0.00	0.00	10	75	828	0	1	23
20120106_www2.rizospastis.gr_e5d6357544ca1d9a9d9402a219c058cd3f63a20c1dd410cc52e6d481	2.51	22.58	1.33	0.00	0.00	0.00	7	24	519	0	2	8
20120106_www2.rizospastis.gr_96b17e3dcadc28f81603031e63512767bbe5746b0f3084a84a743970	2.87	22.58	1.54	0.00	0.00	0.00	7	24	449	0	2	7
20120106_www.tovima.gr_5ccfcd5dc81da74ab6661a16fd7b3de18fc8d15ffaa35b40e3a7dbd0	4.38	20.31	2.46	10.00	33.33	5.88	13	51	516	1	2	16
20111115_www.express.gr_60c020d5a20cd32bc666c3802c29f4bf9f1ab818cbeca961cbfc3df3	2.61	8.24	1.55	0.00	0.00	0.00	7	78	445	0	1	8
20120105_www.tovima.gr_dbcf2d57f1b76bdc40669c282840a3409b8c518581e85ce81e4daf9f	6.64	24.19	3.85	0.00	0.00	0.00	15	47	375	0	2	13
20120106_www1.rizospastis.gr_626b66a3c33a4d73985317f4b6d4aba9ff0672358adca186c83815ad	3.29	25.81	1.76	0.00	0.00	0.00	8	23	447	0	2	8
20120106_www2.rizospastis.gr_c4a7903a237df85bb5d949b5e25e98697135c20e4a815f58682e75c4	2.23	22.58	1.17	0.00	0.00	0.00	7	24	589	0	2	12
20120106_www1.rizospastis.gr_dafd09614c48faabda09182993d6a6abaa82d1e9f3d718c92153a4cc	1.57	22.58	0.81	0.00	0.00	0.00	7	24	852	0	2	27
20120106_www2.rizospastis.gr_a3080aeaea1dd8ee4dd9e8839eaee10dc733e3f6999b3dda4ed6da14	7.24	25.81	4.21	33.33	50.00	25.00	8	23	182	1	1	3
20120106_www.ethnos.gr_44aae21960a8c7b7fffe2b0ee08830c11e2dfff034195fbfbc256ee4	2.85	47.06	1.47	0.00	0.00	0.00	8	9	536	0	3	18
20120106_www.tovima.gr_6d307fa8a293d2d3777242a012dd9c907afbe09ab654f0e6fe2b7e73	11.17	7.19	25.00	28.57	25.00	33.33	11	142	33	1	3	2
20111115_www.express.gr_56539caf20c6ff25edba98bb2a51a03dde06ae052798c5f91cb88e4c	2.83	9.41	1.67	0.00	0.00	0.00	8	77	472	0	1	11
20120106_www.sigmalive.com_be320757a36a7237f5e642f4df70bd00edf441e223aac4626bc69fab	84.32	89.63	79.61	72.73	66.67	80.00	121	14	31	4	2	1
20120106_www.rizospastis.gr_dbae745f644cb04526ce737e48bbcdf1455495bd43c6ee3c7407fdfe	5.76	22.58	3.30	0.00	0.00	0.00	7	24	205	0	2	4
20120105_www.tovima.gr_ad1ed3d7794d0ea47e0fa6cabd0d9b0550b14d5fcd1d46c3cd447730	4.36	19.35	2.46	0.00	0.00	0.00	12	50	476	0	2	21
20120106_www2.rizospastis.gr_f0622e0b95e1080529f45dac2940e1015b6d2ab446b56226a74f7be7	3.41	22.58	1.84	0.00	0.00	0.00	7	24	373	0	2	7
20120106_www2.rizospastis.gr_27192fd83b2742940e079905c57769efee7280c0f2a70e8b7fe1b109	0.80	53.85	0.40	0.00	0.00	0.00	7	6	1733	0	2	23
20111107_www.express.gr_20a584d29d10a3c203d5ca471a3c184d30d7b1a4e58779e002e0cbfc	1.69	7.06	0.96	0.00	0.00	0.00	6	79	620	0	1	11
20120106_www2.rizospastis.gr_cb4de93f7f3e81ea49fc237ed8b6e7f16854c7193f267fa2794e601e	1.82	22.58	0.95	0.00	0.00	0.00	7	24	732	0	2	18
20120105_health.in.gr_e8edbd1ecc4b35d45dc569b9758af3498eba78c3aed809bb0269a1c1	7.80	33.85	4.41	0.00	0.00	0.00	22	43	477	0	5	15
20111110_www.express.gr_fc9eda2e0ff459066717f3a54e84e0562bbbabbd8c77424f5111d1b6	2.90	9.41	1.72	0.00	0.00	0.00	8	77	458	0	1	8
20120105_www.iatronet.gr_beb0bb54d8d761e3ec3af448128046930f8fe7603e924044b256e322	74.42	62.34	92.31	44.44	33.33	66.67	48	29	4	2	4	1
20120106_www1.rizospastis.gr_e5604ddccf9bb60dfdbb5dfe1df2cfa18f7030f6f65f8ff52ba466a7	12.90	25.81	8.60	33.33	50.00	25.00	8	23	85	1	1	3
20111111_www.express.gr_256f9080fd01b4846351b84bb4129eff8bcca307d9deddbf786948bd	4.10	9.41	2.62	0.00	0.00	0.00	8	77	297	0	1	6
20120106_www.sigmalive.com_933d4d485b475e4ddc031824c7494f26cc52dad11af991fd6adc8baa	3.38	52.94	1.75	0.00	0.00	0.00	9	8	506	0	2	11
20120106_www2.rizospastis.gr_c44d5229886107a964158809a7762986d468cbec420700d03e3fef7f	2.40	22.58	1.27	0.00	0.00	0.00	7	24	545	0	2	7
20120105_health.in.gr_9aff1149c40ef5839c0c58532ceac309a5ea459588a12c3a24408ea2	10.86	33.85	6.47	12.50	20.00	9.09	22	43	318	1	4	10
20120106_www2.rizospastis.gr_b6790588a82e5a49bbeb17c84d2d9955724b60b3149ff61a623706f7	6.84	61.54	3.62	0.00	0.00	0.00	8	5	213	0	2	5
20120106_www.ethnos.gr_1084803ed0be38ec9e1cd259051c6724425a18b4729e37010668f164	5.02	70.00	2.60	0.00	0.00	0.00	7	3	262	0	1	8
20111207_www.express.gr_5a2b984dd7cae62f5e2aa1e96ffeb4a2232535a31b16445374f66c5f	68.61	77.69	61.44	57.14	80.00	44.44	282	81	177	8	2	10
20120106_www.avgi.gr_32758bb0414ec845fa2c99f6114bd72bfe5267d725c46c88b341b882	80.97	70.20	95.64	35.29	27.27	50.00	285	121	13	3	8	3
20120106_www.kathimerini.com.cy_1237811088607f097f4d460a3f33776468f75970e9775b9b4f2a42dd	10.33	14.47	8.03	0.00	0.00	0.00	11	65	126	0	20	5
20120105_health.in.gr_ce02e86026b514251d6e6f8541c9650917fc21da910b24778e3c6c83	8.68	29.85	5.08	0.00	0.00	0.00	20	47	374	0	5	10
20120106_www2.rizospastis.gr_38caad2915651ddcf48231eb5f4ab64cd6a7b92c8c02b513f402d29e	2.84	25.81	1.50	25.00	50.00	16.67	8	23	525	1	1	5
20120106_www2.rizospastis.gr_4c627406ff6c4cfec9c51f5085dd6caa44978ae56797a0fb64af7695	3.33	22.58	1.80	0.00	0.00	0.00	7	24	382	0	2	6
20120106_www.tovima.gr_7abd8f795d5f410943446e48770f6a123cfddb0f827dd8ca705708d2	5.38	7.53	4.18	0.00	0.00	0.00	11	135	252	0	4	12
