file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120117_timesofindia.indiatimes.com_22c1d64206e29a0dca411ee86f44ea616b8f8ac5c652cf30f2382385	97.62	98.26	97.00	66.67	80.00	57.14	226	4	7	4	1	3
20120117_www.orissadiary.com_6ac515d4b60cdb80d6746c10ff74c02087e132b7e63fb77b6a5d70a6	81.16	69.14	98.25	14.81	8.70	50.00	224	100	4	2	21	2
20120117_m.smh.com.au_2837b4beda2d9647673c8344773c6914407ae87298d155731de503cd	92.80	96.69	89.20	95.00	95.00	95.00	380	13	46	19	1	1
20111215_www.telegraph.co.uk_c56e99f68fdb6b7f284f287ac8b1133b20ba731b77a8a9cb96d16260	74.20	62.93	90.39	52.00	37.14	86.67	348	205	37	13	22	2
20120112_news.bbc.co.uk_f75ece81098631dbd272e4b34ed73383c37d719c26d1d72a6a080931	92.59	91.38	93.83	76.47	72.22	81.25	350	33	23	13	5	3
20120117_news.nationalpost.com_d014b8d85ef1cbb634831c871b4bdda202e92660d1062b4f19457c02	88.14	83.46	93.38	77.55	70.37	86.36	747	148	53	19	8	3
20120117_visitbulgaria.info_54a20f9f7abb52319ad7988e1b4e1170c4ea3cf97827941b6f9a2624	4.26	72.73	2.19	0.00	0.00	0.00	8	3	357	0	1	8
20120112_online.wsj.com_078a9cdd4b90e6cb0fd7112799485760d0fc0ee223259c46111498e8	82.02	74.80	90.77	56.52	43.33	81.25	659	222	67	13	17	3
20120117_www.cosmosmagazine.com_ca99584dc34b621b196e5469128147ca2a2596f9ef72cb11548df45e	2.14	42.86	1.10	0.00	0.00	0.00	9	12	810	0	2	20
20111215_www.metro.co.uk_59956104e4f612d6f61f5497ddfdfea1352c597763ea33c207929059	84.27	86.11	82.51	73.68	77.78	70.00	217	35	46	7	2	3
20111215_www.guardian.co.uk_bdb75d0a9df1d38d02528b2a05ff19f310e2a3e96dadbe8b92c332af	7.54	50.00	4.08	0.00	0.00	0.00	21	21	494	0	3	8
20111215_www.dailymail.co.uk_3f608d00736156a323ab476a86a3c7bca40bcb05ee1d74ceb546bbd5	10.49	8.14	14.76	9.37	6.82	15.00	67	756	387	3	41	17
20120112_psychcentral.com_d083c6b0c8d0c244d419c175957011d592d58ad75eae67ccc1195938	4.15	48.15	2.17	0.00	0.00	0.00	13	14	587	0	2	14
20120117_www.mirror.co.uk_b9d91e8cabba8832ceed69fd1edbc73b1c204ba6dfd9df89ce4260b4	90.04	84.43	96.44	69.57	61.54	80.00	244	45	9	8	5	2
20120117_www.bbc.co.uk_7b29bbb105b5aa555f5c798457911b5d76b2ceedcf800086b1e75327	89.39	86.13	92.91	75.00	70.59	80.00	354	57	27	12	5	3
20111215_www.dh.gov.uk_0a9cbae2299a36326acfa07e1a72eb684e38363967d46b929f16e7b6	78.52	85.38	72.69	52.63	55.56	50.00	181	31	68	5	4	5
20120117_news.nationalpost.com_72ee301752737078845a7b55b80760e571b4b0ce0605d2fef8354964	98.53	98.60	98.46	94.12	92.31	96.00	702	10	11	24	2	1
20120117_www.kake.com_f53c043c168bfe50334316658bfc69588b8ddcc26efa05a315da78b1	68.80	61.46	78.15	75.00	75.00	75.00	118	74	33	6	2	2
20120112_www.theglobeandmail.com_a82c942896627b03cbdaaad77d3fd77b4d6ffb18f3006e9c2f4784ec	81.17	76.16	86.88	59.46	50.00	73.33	556	174	84	11	11	4
20120112_www.businessweek.com_a005cdc19204ac2e3d4a5b818aa8c77e5968802888d329495c31085c	96.58	95.40	97.80	69.57	66.67	72.73	311	15	7	8	4	3
