file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111209_www.we-dwoje.pl_19af8fed1feb67d7ad17ceed91f60bbcb0845ec57d5132df8c16e255	34.94	22.70	75.86	29.41	19.23	62.50	264	899	84	5	21	3
20120104_www.money.pl_e7ba8f2d7d697eb07d171de9f2d33a494d57e2fc44dce04b805450e1	68.37	60.07	79.31	40.00	30.77	57.14	161	107	42	4	9	3
20120104_www.gk24.pl_c95d8af5117520c86cf6a43247756d8a8bcfe62435ca0a8d4256662f	60.52	45.60	89.96	27.03	17.24	62.50	233	278	26	5	24	3
20120105_www.we-dwoje.pl_a34f720362e69f95128b20da89e6b87e248575d82e80acd0c12e41ad	71.51	64.56	80.13	46.15	37.50	60.00	512	281	127	9	15	6
20111121_www.biolog.pl_df35442bc753c25dd6c3d261cac577b2e83b5f6405dfa1fbc7b3711d	77.93	71.32	85.90	71.11	57.14	94.12	664	267	109	16	12	1
20120106_www.pomorska.pl_319b22943ec4e778a564cf08846303ca7caac14778d50ab4dcc555d5	84.19	77.92	91.55	48.57	38.64	65.38	1073	304	99	17	27	9
20120102_www.zdrowiutko.info_4af7429d6f7b3967f666b89eea7bef64cc89f5b13fb8a366a7b5fcf9	86.75	86.19	87.31	79.37	75.76	83.33	743	119	108	25	8	5
20111207_www.biolog.pl_1217f2298aedb3f437a8ad8f951d4a5fd72f73453f3a1ad483247983	60.77	50.20	76.97	34.48	25.00	55.56	254	252	76	5	15	4
20111121_www.zdrowiutko.info_974b6000f979b037cca015e83a107762db4890e6216ad7767d15ebbf	88.40	94.89	82.75	76.92	78.95	75.00	446	24	93	15	4	5
20120104_www.rmf24.pl_f855b922968bad3aad3e602bffd0cf52f85e6310bcdccac4cc775317	82.85	81.94	83.78	57.14	57.14	57.14	186	41	36	4	3	3
20120106_www.rp.pl_0c673e6f222d11a2e838ee625217077fdbd48353bf73ad3d4ff6ff47	10.19	32.65	6.04	15.38	16.67	14.29	16	33	249	1	5	6
