file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120106_rus.ruvr.ru_2c27d04d251b4d73039acc34e424b755e057a4bd0832f98b0906f893	56.42	45.45	74.35	0.00	0.00	0.00	200	240	69	0	12	7
20111209_www.kleo.ru_01f4205128c9fd41669466012d3659ec55d784ba06a1f5cef6627144	77.82	69.75	88.01	50.00	38.46	71.43	279	121	38	5	8	2
20111128_www.argumenti.ru_d2d7845efedd98f5e11c23fb1c7d10bdb66f7b3002b2bcdddf040508	29.39	18.85	66.67	19.05	13.33	33.33	118	508	59	2	13	4
20120106_www.nr2.ru_71e3ea912507bd41bba2cc41352cfafa45e1641fe1347594a3ed38df	13.33	69.57	7.37	0.00	0.00	0.00	16	7	201	0	3	4
20120106_www.nr2.ru_7d0cc61b526813d7fd9e38de4e7f86c3c505e47061e61e59a8bd0c1a	30.36	70.83	19.32	33.33	50.00	25.00	17	7	71	1	1	3
20111128_top.rbc.ru_5c0edc0481444061258af4069db91fe6003a388f102b526776f6a15c	4.07	36.00	2.16	0.00	0.00	0.00	9	16	408	0	3	9
20120106_informpskov.ru_5570171e07dc222858be5bc0f2e630e5532d4c43e3a24eb461c2b758	33.42	20.52	90.00	50.00	37.50	75.00	126	488	14	3	5	1
20120117_www.argumenti.ru_da9cf21b1564b946eb14c4f6762c84c0daa3e93c341db2c1da63770e	21.36	12.59	70.41	23.53	16.67	40.00	69	479	29	2	10	3
20111128_www.1news.az_9bd2b46a12104cd121d8cbb677b1708a235a8f0e0c250d961ebbd3f7	73.79	76.00	71.70	66.67	57.14	80.00	114	36	45	4	3	1
20120106_newsru.co.il_563f6804e34cfc95a8b4fe9b134a0f9a496663a67f010ba3441a3580	13.78	49.09	8.01	0.00	0.00	0.00	27	28	310	0	2	11
20120106_www.rbc.ru_1ab78a77169231ecf2987dcde3559f5cf50d75d1ec92f85d65363a6b	27.70	62.12	17.83	22.22	25.00	20.00	41	25	189	1	3	4
20111128_www.1tv.ru_5af4c17fcfdecef58f591577f57941711ffc6b4d16e9eddf99a2c1ad	66.93	57.09	80.86	0.00	0.00	0.00	169	127	40	0	9	6
20120117_saratov-times.ru_6a4d4ac1088bedc1a7e769ac2e70dcc1f2238360c574ea6a9f8cd4ca	89.92	93.05	87.00	54.55	50.00	60.00	174	13	26	3	3	2
20111128_www.aif.ru_8615176c4de88091217e66433b654d812ceb3aa888504cc5c65da372	6.25	7.69	5.26	0.00	0.00	0.00	11	132	198	0	12	6
20120117_ivona.bigmir.net_0cb32453003aafa4953d364771f630637f59cf3eb9b733e9ee477fff	49.44	35.07	83.78	55.56	71.43	45.45	155	287	30	5	2	6
20111128_www.regnum.ru_2fa9d5942fcceffd25ca1213414b453701bf63d7acaaf43c1501577e	85.16	91.15	79.91	40.00	40.00	40.00	175	17	44	2	3	3
20111128_www.argumenti.ru_3856c6cacc27b32a352e85762bcfbc18a151c60fcfab034c8b6de39c	17.61	10.23	63.27	19.05	12.50	40.00	62	544	36	2	14	3
20120106_www.newsru.com_972d7ff809b13d7a617f1d3f52416749ccd28522c84575c2bf5ff9df	7.40	50.00	3.99	0.00	0.00	0.00	26	26	625	0	2	14
