file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120106_www1.rizospastis.gr_c3012ca8ca2a0968b8e9e79641f4699f8044d3a08a73dcbdfc81bf91	90.31	92.34	88.37	70.59	75.00	66.67	494	41	65	6	2	3
20120106_www2.rizospastis.gr_a7a091cc3d3f43051c1d9936b8c624431e06cc68b33122edaddc992c	96.00	97.81	94.25	0.00	0.00	0.00	492	11	30	0	0	4
20120106_www2.rizospastis.gr_3cb716eac237f1f7bcf5b28ff4d03f53d7ad825635a4075941062dcc	86.84	86.65	87.03	75.00	75.00	75.00	396	61	59	6	2	2
20111221_www.express.gr_473b6f39b78009b8a0db81b690d50d060be6df0afb48d985edfe8725	87.97	86.04	89.97	0.00	0.00	0.00	709	115	79	0	0	22
20120106_www2.rizospastis.gr_cc72f28afe32a750460efbacbda4d57b6edff351688288a36a59523f	91.83	97.02	87.17	100.00	100.00	100.00	163	5	24	3	0	0
20111117_www.express.gr_3a7503f984e19276fafaee944f124abc40f5019f6d714fe776d3e51c	76.34	66.23	90.10	0.00	0.00	0.00	355	181	39	0	0	14
20111128_www.express.gr_5ea35f8d3f8677bfe844c9e4048385563cb9ad1bc53664318a3a6743	82.38	73.83	93.17	0.00	0.00	0.00	491	174	36	0	0	9
20120105_health.in.gr_004c53da77f6a9296a961382585a3245aa5e4b1d2a8c27b2c0b05f0a	88.02	90.14	86.00	0.00	0.00	0.00	393	43	64	0	1	17
20120106_www2.rizospastis.gr_a0f860cb41ae2c3b953cf235d185cf1712018cc407b444ab1e827c1b	87.14	88.19	86.10	80.00	100.00	66.67	254	34	41	4	0	2
20111216_www.express.gr_64ac71e0d5681563f3e75768aee0872c9de9ccdb8d10e14c5ba86360	76.09	64.18	93.44	63.16	52.94	78.26	783	437	55	18	16	5
20120106_www2.rizospastis.gr_e5d6357544ca1d9a9d9402a219c058cd3f63a20c1dd410cc52e6d481	91.79	93.32	90.30	61.54	80.00	50.00	475	34	51	4	1	4
20120106_www2.rizospastis.gr_96b17e3dcadc28f81603031e63512767bbe5746b0f3084a84a743970	92.63	97.57	88.16	72.73	100.00	57.14	402	10	54	4	0	3
20120106_www.tovima.gr_5ccfcd5dc81da74ab6661a16fd7b3de18fc8d15ffaa35b40e3a7dbd0	87.32	93.33	82.04	66.67	76.92	58.82	434	31	95	10	3	7
20111115_www.express.gr_60c020d5a20cd32bc666c3802c29f4bf9f1ab818cbeca961cbfc3df3	81.40	72.41	92.92	0.00	0.00	0.00	420	160	32	0	0	8
20120105_www.tovima.gr_dbcf2d57f1b76bdc40669c282840a3409b8c518581e85ce81e4daf9f	82.25	81.93	82.56	6.90	6.25	7.69	322	71	68	1	15	12
20120106_www1.rizospastis.gr_626b66a3c33a4d73985317f4b6d4aba9ff0672358adca186c83815ad	83.35	80.53	86.37	57.14	66.67	50.00	393	95	62	4	2	4
20120106_www2.rizospastis.gr_c4a7903a237df85bb5d949b5e25e98697135c20e4a815f58682e75c4	89.34	90.81	87.92	76.19	88.89	66.67	524	53	72	8	1	4
20120106_www1.rizospastis.gr_dafd09614c48faabda09182993d6a6abaa82d1e9f3d718c92153a4cc	85.00	84.90	85.10	46.43	44.83	48.15	731	130	128	13	16	14
20120106_www2.rizospastis.gr_a3080aeaea1dd8ee4dd9e8839eaee10dc733e3f6999b3dda4ed6da14	92.56	97.11	88.42	85.71	100.00	75.00	168	5	22	3	0	1
20120106_www.ethnos.gr_44aae21960a8c7b7fffe2b0ee08830c11e2dfff034195fbfbc256ee4	90.30	86.78	94.12	72.73	80.00	66.67	512	78	32	12	3	6
20120106_www.tovima.gr_6d307fa8a293d2d3777242a012dd9c907afbe09ab654f0e6fe2b7e73	11.39	6.33	56.82	50.00	100.00	33.33	25	370	19	1	0	2
20111115_www.express.gr_56539caf20c6ff25edba98bb2a51a03dde06ae052798c5f91cb88e4c	81.11	72.73	91.67	0.00	0.00	0.00	440	165	40	0	0	11
20120106_www.sigmalive.com_be320757a36a7237f5e642f4df70bd00edf441e223aac4626bc69fab	90.28	95.59	85.53	88.89	100.00	80.00	130	6	22	4	0	1
20120106_www.rizospastis.gr_dbae745f644cb04526ce737e48bbcdf1455495bd43c6ee3c7407fdfe	91.46	97.85	85.85	66.67	100.00	50.00	182	4	30	2	0	2
20120105_www.tovima.gr_ad1ed3d7794d0ea47e0fa6cabd0d9b0550b14d5fcd1d46c3cd447730	85.98	87.82	84.22	25.64	27.78	23.81	411	57	77	5	13	16
20120106_www2.rizospastis.gr_f0622e0b95e1080529f45dac2940e1015b6d2ab446b56226a74f7be7	88.95	91.16	86.84	72.73	100.00	57.14	330	32	50	4	0	3
20120106_www2.rizospastis.gr_27192fd83b2742940e079905c57769efee7280c0f2a70e8b7fe1b109	95.93	97.11	94.77	90.48	100.00	82.61	1649	49	91	19	0	4
