file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120117_timesofindia.indiatimes.com_22c1d64206e29a0dca411ee86f44ea616b8f8ac5c652cf30f2382385	91.58	92.17	90.99	83.33	100.00	71.43	212	18	21	5	0	2
20120117_www.orissadiary.com_6ac515d4b60cdb80d6746c10ff74c02087e132b7e63fb77b6a5d70a6	88.00	89.19	86.84	25.00	25.00	25.00	198	24	30	1	3	3
20120117_m.smh.com.au_2837b4beda2d9647673c8344773c6914407ae87298d155731de503cd	95.97	94.13	97.89	92.31	94.74	90.00	417	26	9	18	1	2
20111215_www.telegraph.co.uk_c56e99f68fdb6b7f284f287ac8b1133b20ba731b77a8a9cb96d16260	71.13	92.15	57.92	69.57	100.00	53.33	223	19	162	8	0	7
20120112_news.bbc.co.uk_f75ece81098631dbd272e4b34ed73383c37d719c26d1d72a6a080931	93.32	95.00	91.69	86.67	92.86	81.25	342	18	31	13	1	3
20120117_news.nationalpost.com_d014b8d85ef1cbb634831c871b4bdda202e92660d1062b4f19457c02	96.49	95.03	98.00	91.30	87.50	95.45	784	41	16	21	3	1
20120117_visitbulgaria.info_54a20f9f7abb52319ad7988e1b4e1170c4ea3cf97827941b6f9a2624	93.92	90.79	97.26	93.33	100.00	87.50	355	36	10	7	0	1
20120112_online.wsj.com_078a9cdd4b90e6cb0fd7112799485760d0fc0ee223259c46111498e8	97.43	98.32	96.56	93.33	100.00	87.50	701	12	25	14	0	2
20120117_www.cosmosmagazine.com_ca99584dc34b621b196e5469128147ca2a2596f9ef72cb11548df45e	93.62	93.22	94.02	91.89	100.00	85.00	770	56	49	17	0	3
20111215_www.metro.co.uk_59956104e4f612d6f61f5497ddfdfea1352c597763ea33c207929059	83.75	84.23	83.27	88.89	100.00	80.00	219	41	44	8	0	2
20111215_www.guardian.co.uk_bdb75d0a9df1d38d02528b2a05ff19f310e2a3e96dadbe8b92c332af	93.27	92.38	94.17	93.33	100.00	87.50	485	40	30	7	0	1
