file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20111209_www.we-dwoje.pl_19af8fed1feb67d7ad17ceed91f60bbcb0845ec57d5132df8c16e255	44.35	29.72	87.36	0.00	0.00	0.00	304	719	44	0	22	8
20120104_www.money.pl_e7ba8f2d7d697eb07d171de9f2d33a494d57e2fc44dce04b805450e1	82.09	76.05	89.16	76.92	83.33	71.43	181	57	22	5	1	2
20120104_www.gk24.pl_c95d8af5117520c86cf6a43247756d8a8bcfe62435ca0a8d4256662f	86.12	89.92	82.63	22.22	100.00	12.50	214	24	45	1	0	7
20120105_www.we-dwoje.pl_a34f720362e69f95128b20da89e6b87e248575d82e80acd0c12e41ad	89.23	88.34	90.14	0.00	0.00	0.00	576	76	63	0	2	15
20111121_www.biolog.pl_df35442bc753c25dd6c3d261cac577b2e83b5f6405dfa1fbc7b3711d	86.26	81.71	91.33	0.00	0.00	0.00	706	158	67	0	24	17
20120106_www.pomorska.pl_319b22943ec4e778a564cf08846303ca7caac14778d50ab4dcc555d5	92.02	95.76	88.57	37.50	100.00	23.08	1038	46	134	6	0	20
20120102_www.zdrowiutko.info_4af7429d6f7b3967f666b89eea7bef64cc89f5b13fb8a366a7b5fcf9	86.97	81.71	92.95	78.12	73.53	83.33	791	177	60	25	9	5
20111207_www.biolog.pl_1217f2298aedb3f437a8ad8f951d4a5fd72f73453f3a1ad483247983	75.89	67.13	87.27	0.00	0.00	0.00	288	141	42	0	10	9
20111121_www.zdrowiutko.info_974b6000f979b037cca015e83a107762db4890e6216ad7767d15ebbf	86.21	84.89	87.57	80.95	77.27	85.00	472	84	67	17	5	3
20120104_www.rmf24.pl_f855b922968bad3aad3e602bffd0cf52f85e6310bcdccac4cc775317	68.98	60.27	80.63	66.67	80.00	57.14	179	118	43	4	1	3
20120106_www.rp.pl_0c673e6f222d11a2e838ee625217077fdbd48353bf73ad3d4ff6ff47	82.61	79.44	86.04	25.00	100.00	14.29	228	59	37	1	0	6
20120106_www.nowiny24.pl_7f85e13888ff7478c6e1bbb27628ac8bfa7741bdde10abab79aaabbc	82.90	84.25	81.59	22.22	50.00	14.29	492	92	111	3	3	18
20111121_goodcontents.net_daca031b3afb62aa1c5ae330893841cfd517220dc0be08ce017e26d7	92.89	95.66	90.28	33.33	40.00	28.57	353	16	38	2	3	5
20111209_www.biolog.pl_f8a9a3a7e56a47890452bd092305ca15eaaf850b48b6935084628b48	1.60	50.00	0.81	0.00	0.00	0.00	1	1	122	0	0	4
20120106_www.rp.pl_af88e8921fbd34d5545ac12ebf8e46776b2fd5e237f17d8488e67f6b	86.14	80.53	92.59	88.00	100.00	78.57	637	154	51	11	0	3
20120106_www.rynekzdrowia.pl_65763a4d2634741e77cdcbdafb1f17ea37275efbe4a1ced9bba9f2ea	81.57	77.59	85.99	60.00	75.00	50.00	135	39	22	3	1	3
20111207_www.biolog.pl_f7b095a5f67da611db46b0033f53bbf0d6d1d6b0965661dc74629464	75.03	66.12	86.73	0.00	0.00	0.00	281	144	43	0	10	10
20120102_www.biolog.pl_da4971d5a8258ca16606d2a4af7b3ff5a43a04116e50017b5794f1e6	80.32	71.36	91.84	0.00	0.00	0.00	304	122	27	0	10	9
20120106_budownictwo.wnp.pl_ff337b320fa04ea7f0dd72f85bf1de4cbc93f521cd4a02457e6e86d2	75.85	81.23	71.14	0.00	0.00	0.00	212	49	86	0	0	8
20120102_www.biolog.pl_7c3b047ae678cbf0aab0b7b7dfb357b3d41868b90f16f3b227a3c491	82.62	74.33	93.01	0.00	0.00	0.00	359	124	27	0	10	9
20111207_www.biolog.pl_cbef94652e0301b7efa01a61b323fa8e7d1c79ebaa36eb50ede8f7b0	1.47	50.00	0.75	0.00	0.00	0.00	1	1	133	0	0	5
20120106_www.rynekzdrowia.pl_bdc5c2b80ed23617eb900252991d90d4656ade58157d2e3e2bafc26b	85.95	84.44	87.50	20.00	100.00	11.11	266	49	38	1	0	8
