file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120106_rus.ruvr.ru_2c27d04d251b4d73039acc34e424b755e057a4bd0832f98b0906f893	48.70	37.47	69.52	0.00	0.00	0.00	187	312	82	0	0	7
20111209_www.kleo.ru_01f4205128c9fd41669466012d3659ec55d784ba06a1f5cef6627144	89.04	94.04	84.54	61.54	66.67	57.14	268	17	49	4	2	3
20111128_www.argumenti.ru_d2d7845efedd98f5e11c23fb1c7d10bdb66f7b3002b2bcdddf040508	82.57	90.00	76.27	83.33	83.33	83.33	135	15	42	5	1	1
20120106_www.nr2.ru_71e3ea912507bd41bba2cc41352cfafa45e1641fe1347594a3ed38df	1.65	1.50	1.84	0.00	0.00	0.00	4	263	213	0	15	4
20120106_www.nr2.ru_7d0cc61b526813d7fd9e38de4e7f86c3c505e47061e61e59a8bd0c1a	3.94	2.62	7.95	42.11	26.67	100.00	7	260	81	4	11	0
20111128_top.rbc.ru_5c0edc0481444061258af4069db91fe6003a388f102b526776f6a15c	93.33	91.10	95.68	94.12	100.00	88.89	399	39	18	8	0	1
20120106_informpskov.ru_5570171e07dc222858be5bc0f2e630e5532d4c43e3a24eb461c2b758	84.62	91.67	78.57	66.67	60.00	75.00	110	10	30	3	2	1
20120117_www.argumenti.ru_da9cf21b1564b946eb14c4f6762c84c0daa3e93c341db2c1da63770e	74.86	82.72	68.37	50.00	66.67	40.00	67	14	31	2	1	3
20111128_www.1news.az_9bd2b46a12104cd121d8cbb677b1708a235a8f0e0c250d961ebbd3f7	81.00	80.25	81.76	90.91	83.33	100.00	130	32	29	5	1	0
20120106_newsru.co.il_563f6804e34cfc95a8b4fe9b134a0f9a496663a67f010ba3441a3580	69.87	60.93	81.90	69.57	66.67	72.73	276	177	61	8	4	3
20120106_www.rbc.ru_1ab78a77169231ecf2987dcde3559f5cf50d75d1ec92f85d65363a6b	56.72	90.48	41.30	0.00	0.00	0.00	95	10	135	0	1	5
20111128_www.1tv.ru_5af4c17fcfdecef58f591577f57941711ffc6b4d16e9eddf99a2c1ad	70.38	58.84	87.56	60.00	75.00	50.00	183	128	26	3	1	3
20120117_saratov-times.ru_6a4d4ac1088bedc1a7e769ac2e70dcc1f2238360c574ea6a9f8cd4ca	86.68	84.04	89.50	0.00	0.00	0.00	179	34	21	0	1	5
20111128_www.aif.ru_8615176c4de88091217e66433b654d812ceb3aa888504cc5c65da372	4.64	5.03	4.31	0.00	0.00	0.00	9	170	200	0	6	6
20120117_ivona.bigmir.net_0cb32453003aafa4953d364771f630637f59cf3eb9b733e9ee477fff	59.72	53.16	68.11	50.00	80.00	36.36	126	111	59	4	1	7
20111128_www.regnum.ru_2fa9d5942fcceffd25ca1213414b453701bf63d7acaaf43c1501577e	84.29	92.86	77.17	75.00	100.00	60.00	169	13	50	3	0	2
20111128_www.argumenti.ru_3856c6cacc27b32a352e85762bcfbc18a151c60fcfab034c8b6de39c	71.19	79.75	64.29	72.73	66.67	80.00	63	16	35	4	2	1
20120106_www.newsru.com_972d7ff809b13d7a617f1d3f52416749ccd28522c84575c2bf5ff9df	76.98	70.69	84.49	53.33	50.00	57.14	550	228	101	8	8	6
20120117_aifudm.net_5424ed1a898d3559a44c4b3fba83f978f0bb01e02faebaf4eaf9e2bf	80.78	77.93	83.84	92.31	85.71	100.00	166	47	32	6	1	0
