file	F	P	R	F.tag	P.tag	R.tag	TP	FP	FN	TP.tag	FP.tag	FN.tag
20120117_big5.xinhuanet.com_5f7f9444353f95b6c7518ad991509ade97d04238e499aad869ac29b4	30.30	38.46	25.00	80.00	100.00	66.67	5	8	15	4	0	2
20120112_udn.com_70202d9eb7946cbfed2a44bfd38c0e94503cfb8198d97aabd5f331fe	22.22	37.50	15.79	40.00	100.00	25.00	3	5	16	1	0	3
20120117_news.sina.com.cn_6a8048c439cb1aef53909a39d207aa8b359cdac657260385da57c2e6	76.40	75.56	77.27	94.12	100.00	88.89	34	11	10	16	0	2
20120117_news.cnyes.com_2db0d93e96d90ddb1b1238032fe326cca2807410ba42bb6ea6417b58	51.85	51.85	51.85	82.35	87.50	77.78	14	13	13	7	1	2
20120117_news.sina.com.hk_ce85f208a65c745a73a15f8be1662e52f3664e1d21ac51e0f758fd8c	17.78	22.22	14.81	44.44	100.00	28.57	4	14	23	2	0	5
20111215_finance.ifeng.com_2ebe785ae70cc924e6d78a61cfb3bbe9e418d8ee1ccfbb9f29585e03	22.58	17.95	30.43	60.00	75.00	50.00	7	32	16	3	1	3
20120112_www.jfdaily.com_a163a9d32674060a78c2e5f3d85a3d99f946b95ac151cb04cc8ceaf3	4.88	3.12	11.11	0.00	0.00	0.00	3	93	24	0	0	8
20120112_news.sina.com.hk_61c22616d643454ee46af79eb6feff8de6a9a4f5c965129bf7e2c7b9	29.27	22.64	41.38	50.00	50.00	50.00	12	41	17	4	4	4
20120117_news.sina.com.tw_cdae9ea7d9d69b31c2189a800f96d0ce218b727414c4eaf954be01f4	36.14	26.79	55.56	80.00	85.71	75.00	15	41	12	6	1	2
20120112_mnc.people.com.cn_8c642d4bc2cce3bf8d8018e18851cdd5bdae940ab1da9f1a9e93214d	62.50	65.79	59.52	93.33	100.00	87.50	25	13	17	14	0	2
20120112_news.hexun.com_3e9a936bbc721ebc707456dff07a5af4ffd11188b4b3d5000cc56db9	17.46	11.96	32.35	66.67	87.50	53.85	11	81	23	7	1	6
20120112_news.chinatimes.com_e998ec0102accd2f573ca7998f029576a3cd7d1e09ad10d5df3b6d61	26.32	35.71	20.83	80.00	100.00	66.67	5	9	19	4	0	2
20120117_member.nownews.com_da91518f33c9dcc7c7d3a3b2a502aa5945877e098fd55ec1fc05643f	12.50	11.54	13.64	25.00	100.00	14.29	3	23	19	1	0	6
20120112_iservice.libertytimes.com.tw_7c67349bdc47840732a1e335662bf8d62d64001f1c9c7ff19d7baac8	31.25	28.57	34.48	0.00	0.00	0.00	10	25	19	0	0	6
20120117_finance.ynet.com_660acfc31310c59631135a660b50de3a4abf75a443e1faa519783369	25.42	19.23	37.50	93.33	87.50	100.00	15	63	25	14	2	0
20120112_money.gucheng.com_b5a9f9b57ba46d4456e8ae6d2fbf78fa9cfdf38a6dda636ac0a0fbb2	5.71	50.00	3.03	0.00	0.00	0.00	1	1	32	0	0	12
20120112_www.awakeningtw.com_2fbe31afa40df01777b0eb38f9645a3656d8131b0cc91eb4a4fd27ef	23.53	18.75	31.58	83.33	71.43	100.00	6	26	13	5	2	0
20120112_biz.caixun.com_44f113af12f514217bc1106fb2a3bca051899b1969229cd8f8aeef92	9.09	7.53	11.48	26.09	100.00	15.00	7	86	54	3	0	17
20120112_xm.city.ifeng.com_132b367e56a650b9d106ecce3fea7c9db7d416c6195f748d11df32dd	9.17	5.81	21.74	88.89	100.00	80.00	5	81	18	4	0	1
20120112_tech.hexun.com_231edef93acd0248eb06acf775ef87ab5c3d35a4ab5ba14b356a71d7	26.67	21.62	34.78	85.71	100.00	75.00	8	29	15	6	0	2
20120117_www.bcc.com.tw_1adf7f2fd9d20102a2abfe045d6bc4bc2890a43554caea3b81ab0787	3.77	3.12	4.76	0.00	0.00	0.00	1	31	20	0	0	5
20120117_www.chinanews.com_d9eaa2170bd09b9271425a86c1b2e5fdd1b6df7bad81a4704e67b2fe	22.40	15.73	38.89	86.96	90.91	83.33	14	75	22	10	1	2
20120112_ent.sina.com.cn_c5a153225f665536f613ad25dc18aecca8b0d00a31c8e22d8f883e00	45.98	39.22	55.56	82.76	80.00	85.71	20	31	16	12	3	2
20111215_society.people.com.cn_a3f27fa4f6cf875f8d31a1cdbab3eedb48a2d8b6e427dff44e9b5f7b	39.02	40.00	38.10	90.91	100.00	83.33	8	12	13	5	0	1
20120112_www.chinanews.com_18767c5838f6b170dafaea3cfb06386585f28dd2206542e329630503	17.39	11.76	33.33	80.00	80.00	80.00	10	75	20	8	2	2
20120117_news.sina.com.hk_b60b4a19ac1fa1d17c371df7472e42d1d756622ea1a175eed692cd00	28.57	20.93	45.00	54.55	50.00	60.00	9	34	11	3	3	2
20120112_www.northnews.cn_4d6498d17ea6776c3c041f724f7b6d94afb1dbac1dc2d6ce8d7fb622	28.92	23.53	37.50	55.56	83.33	41.67	12	39	20	5	1	7
